From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
CAB12452.2	P94474	reviewed	YEAC_BACSU	Uncharacterized protein YeaC	yeaC BSU06330	Bacillus subtilis (strain 168)	320
CAB12453.2	P94475	reviewed	YEAD_BACSU	Uncharacterized protein YeaD	yeaD BSU06340	Bacillus subtilis (strain 168)	398
CAB12454.2	P94476	reviewed	YEBA_BACSU	Uncharacterized protein YebA	yebA BSU06350	Bacillus subtilis (strain 168)	737
CAB12455.2	P29727	reviewed	GUAA_BACSU	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA BSU06360	Bacillus subtilis (strain 168)	513
CAB12456.1	O34987	reviewed	PBUG_BACSU	Guanine/hypoxanthine permease PbuG	pbuG yebB BSU06370	Bacillus subtilis (strain 168)	440
CAB12457.2	O34341	reviewed	YEBC_BACSU	Uncharacterized protein YebC	yebC BSU06380	Bacillus subtilis (strain 168)	267
CAB12458.3	O34904	reviewed	YEBD_BACSU	Uncharacterized protein YebD	yebD BSU06390	Bacillus subtilis (strain 168)	55
CAB12459.2	O34624	reviewed	YEBE_BACSU	UPF0316 protein YebE	yebE yebF BSU06400	Bacillus subtilis (strain 168)	184
CAB12461.1	O34700	reviewed	YEBG_BACSU	Uncharacterized protein YebG	yebG BSU06410	Bacillus subtilis (strain 168)	65
CAB12462.1	P12044	reviewed	PURE_BACSU	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE BSU06420	Bacillus subtilis (strain 168)	162
CAB12463.2	P12045	reviewed	PURK_BACSU	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK BSU06430	Bacillus subtilis (strain 168)	380
CAB12464.1	P12047	reviewed	PUR8_BACSU	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase) (Glutamyl--tRNA ligase regulatory factor)	purB purE BSU06440	Bacillus subtilis (strain 168)	431
CAB12465.1	P12046	reviewed	PUR7_BACSU	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase) (Vegetative protein 286A) (VEG286A)	purC BSU06450	Bacillus subtilis (strain 168)	241
CAB12466.1	P12049	reviewed	PURS_BACSU	Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)	purS yexA BSU06460	Bacillus subtilis (strain 168)	84
CAB12467.1	P12041	reviewed	PURQ_BACSU	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	purQ BSU06470	Bacillus subtilis (strain 168)	227
CAB12468.2	P12042	reviewed	PURL_BACSU	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL BSU06480	Bacillus subtilis (strain 168)	742
CAB12469.2	P00497	reviewed	PUR1_BACSU	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF BSU06490	Bacillus subtilis (strain 168)	476
CAB12470.2	P12043	reviewed	PUR5_BACSU	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM ath BSU06500	Bacillus subtilis (strain 168)	346
CAB12471.2	P12040	reviewed	PUR3_BACSU	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN BSU06510	Bacillus subtilis (strain 168)	195
CAB12472.2	P12048	reviewed	PUR9_BACSU	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH purHJ BSU06520	Bacillus subtilis (strain 168)	512
CAB12473.1	P12039	reviewed	PUR2_BACSU	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD BSU06530	Bacillus subtilis (strain 168)	422
CAB12474.2	O31497	reviewed	YEZC_BACSU	Uncharacterized HTH-type transcriptional regulator YezC	yezC BSU06540	Bacillus subtilis (strain 168)	139
CAB12475.2	O34560	reviewed	YECA_BACSU	Uncharacterized amino acid permease YecA	yecA BSU06550	Bacillus subtilis (strain 168)	424
CAX52578.1	C0H3X3	reviewed	YEZF_BACSU	Uncharacterized membrane protein YezF	yezF BSU06559	Bacillus subtilis (strain 168)	75
CAB12476.1	O34909	reviewed	YERA_BACSU	Putative adenine deaminase YerA (Adenase) (Adenine aminase) (EC 3.5.4.2)	yerA yecB BSU06560	Bacillus subtilis (strain 168)	580
CAB12477.1	O34968	reviewed	YERB_BACSU	Putative lipoprotein YerB	yerB yecC BSU06570	Bacillus subtilis (strain 168)	331
CAB12478.1	Q7BVT7	reviewed	YERC_BACSU	Uncharacterized protein YerC	yerC yecD BSU06580	Bacillus subtilis (strain 168)	104
CAB12479.1	O34849	reviewed	YERD_BACSU	Glutamate synthase large subunit-like protein YerD	yerD yecE BSU06590	Bacillus subtilis (strain 168)	525
CAB12480.1	O34790	reviewed	PCRB_BACSU	Heptaprenylglyceryl phosphate synthase (HepGP synthase) (EC 2.5.1.n9) (Glycerol-1-phosphate heptaprenyltransferase)	pcrB yerE BSU06600	Bacillus subtilis (strain 168)	228
CAB12481.1	O34580	reviewed	PCRA_BACSU	ATP-dependent DNA helicase PcrA (EC 5.6.2.4) (DNA 3'-5' helicase PcrA)	pcrA yerF BSU06610	Bacillus subtilis (strain 168)	739
CAB12482.1	O31498	reviewed	DNLJ_BACSU	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA lig yerG BSU06620	Bacillus subtilis (strain 168)	668
CAB12483.1	O34629	reviewed	YERH_BACSU	Uncharacterized lipoprotein YerH	yerH BSU06630	Bacillus subtilis (strain 168)	396
CAB12484.1	O34640	reviewed	AMIN_BACSU	Amicoumacin kinase (EC 2.7.1.230) (Kinase AmiN)	amiN yerI BSU06640	Bacillus subtilis (strain 168)	336
CAB12485.1	Q45514	reviewed	SAPB_BACSU	Protein SapB	sapB BSU06650	Bacillus subtilis (strain 168)	232
CAB12486.1	O06493	reviewed	OPUE_BACSU	Osmoregulated proline transporter OpuE (Osmoprotectant uptake) (Proline uptake system)	opuE yerK BSU06660	Bacillus subtilis (strain 168)	492
CAB12487.1	O06492	reviewed	GATC_BACSU	Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-)	gatC yedA yerL BSU06670	Bacillus subtilis (strain 168)	96
CAB12488.1	O06491	reviewed	GATA_BACSU	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA yedB yerM BSU06680	Bacillus subtilis (strain 168)	485
CAB12489.2	O30509	reviewed	GATB_BACSU	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	gatB yerN BSU06690	Bacillus subtilis (strain 168)	476
CAB12490.1	O31500	reviewed	YERO_BACSU	Uncharacterized HTH-type transcriptional regulator YerO	yerO BSU06700	Bacillus subtilis (strain 168)	289
CAB12491.2	O31501	reviewed	SWRC_BACSU	Swarming motility protein SwrC	swrC BSU06710	Bacillus subtilis (strain 168)	1052
CAB12492.1	O31502	reviewed	DAGK_BACSU	Diacylglycerol kinase (DAG kinase) (DAGK) (EC 2.7.1.107)	dagK dgkB yerQ BSU06720	Bacillus subtilis (strain 168)	303
CAB12493.1	O31503	reviewed	RLMCD_BACSU	23S rRNA (uracil-C(5))-methyltransferase RlmCD (EC 2.1.1.189) (EC 2.1.1.190) (23S rRNA (uracil(1939)-C(5))-methyltransferase) (23S rRNA (uracil(747)-C(5))-methyltransferase)	rlmCD yefA yerS BSU06730	Bacillus subtilis (strain 168)	459
CAB12494.1	O34574	reviewed	YEFB_BACSU	Uncharacterized protein YefB	yefB BSU06740	Bacillus subtilis (strain 168)	300
CAB12495.2	O35034	reviewed	YEFC_BACSU	Resolvase homolog YefC	yefC BSU06750	Bacillus subtilis (strain 168)	111
CAB12496.1	O31504	reviewed	DNMA_BACSU	DNA methyltransferase A (DnmA) (EC 2.1.1.72) (Modification methylase M.Bsu3610I) (Modification methylase M.BsuPY79I) (Type II restriction enzyme and methyltransferase RM.BsuMORF6760P) (RM.BsuMORF6760P)	dnmA yeeA BSU06760	Bacillus subtilis (strain 168)	879
CAB12497.2	O34469	reviewed	YEEB_BACSU	Putative ATP-dependent helicase YeeB (EC 3.6.4.-)	yeeB BSU06770	Bacillus subtilis (strain 168)	599
CAB12498.2	O34352	reviewed	YEEC_BACSU	Uncharacterized protein YeeC	yeeC BSU06780	Bacillus subtilis (strain 168)	382
CAB12499.1	O34950	reviewed	YEED_BACSU	Uncharacterized protein YeeD	yeeD BSU06790	Bacillus subtilis (strain 168)	101
CAB12500.1	O31505	reviewed	YEZA_BACSU	Uncharacterized protein YezA	yezA BSU06800	Bacillus subtilis (strain 168)	68
CAX52579.1	C0H3X4	reviewed	YEZG_BACSU	Immunity protein YezG	yezG yeeE BSU06811	Bacillus subtilis (strain 168)	151
CAB12501.2	O31506	reviewed	YEEF_BACSU	Toxin YeeF (DNase YeeF)	yeeF BSU06810	Bacillus subtilis (strain 168)	669
CAB12502.2	O31507	reviewed	YEEG_BACSU	Uncharacterized protein YeeG	yeeG BSU06820	Bacillus subtilis (strain 168)	340
CAB12503.2	Q59HN8	reviewed	RAPH_BACSU	Response regulator aspartate phosphatase H (EC 3.1.3.-) (PSP28)	rapH yeeH yzqA BSU06830	Bacillus subtilis (strain 168)	376
CAX52580.1	Q59HN7	reviewed	PHRH_BACSU	Phosphatase RapH inhibitor (Phosphatase regulator H)	phrH BSU06839	Bacillus subtilis (strain 168)	57
CAB12504.3	O31509	reviewed	YEEI_BACSU	Probable transcriptional regulatory protein YeeI	yeeI BSU06840	Bacillus subtilis (strain 168)	239
CAB12505.2	O31510	reviewed	YEEK_BACSU	Spore coat protein YeeK	yeeK BSU06850	Bacillus subtilis (strain 168)	145
CAE01448.1	Q7WY76	reviewed	YEZE_BACSU	Uncharacterized HTH-type transcriptional regulator YezE	yezE BSU06860	Bacillus subtilis (strain 168)	194
CAB12506.1	O31511	reviewed	YESE_BACSU	Uncharacterized protein YesE	yesE yeeL BSU06870	Bacillus subtilis (strain 168)	147
CAB12507.1	O31512	reviewed	YESF_BACSU	Uncharacterized oxidoreductase YesF (EC 1.-.-.-)	yesF yeeM yfxB BSU06880	Bacillus subtilis (strain 168)	286
CAB12508.1	Q45536	reviewed	COTJA_BACSU	Protein CotJA	cotJA BSU06890	Bacillus subtilis (strain 168)	82
CAB12509.2	Q45537	reviewed	COTJB_BACSU	Protein CotJB	cotJB BSU06900	Bacillus subtilis (strain 168)	87
CAB12510.1	Q45538	reviewed	COTJC_BACSU	Protein CotJC	cotJC BSU06910	Bacillus subtilis (strain 168)	189
CAB12511.1	O31513	reviewed	YESJ_BACSU	Uncharacterized N-acetyltransferase YesJ (EC 2.3.1.-)	yesJ yeeN yfxC yfxD BSU06920	Bacillus subtilis (strain 168)	180
CAB12512.2	O31514	reviewed	YESK_BACSU	Uncharacterized protein YesK	yesK BSU06930	Bacillus subtilis (strain 168)	100
CAB12513.1	O31515	reviewed	YESL_BACSU	Uncharacterized protein YesL	yesL BSU06940	Bacillus subtilis (strain 168)	209
CAB12514.1	O31516	reviewed	YESM_BACSU	Sensor histidine kinase YesM (EC 2.7.13.3)	yesM BSU06950	Bacillus subtilis (strain 168)	577
CAB12515.1	O31517	reviewed	YESN_BACSU	Uncharacterized transcriptional regulatory protein YesN	yesN BSU06960	Bacillus subtilis (strain 168)	368
CAB12516.2	O31518	reviewed	YESO_BACSU	Putative ABC transporter substrate-binding protein YesO	yesO BSU06970	Bacillus subtilis (strain 168)	427
CAB12517.1	O31519	reviewed	YESP_BACSU	Probable ABC transporter permease protein YesP	yesP BSU06980	Bacillus subtilis (strain 168)	309
CAB12518.1	O31520	reviewed	YESQ_BACSU	Probable ABC transporter permease protein YesQ	yesQ BSU06990	Bacillus subtilis (strain 168)	296
CAB12519.1	O31521	reviewed	URHG1_BACSU	Unsaturated rhamnogalacturonyl hydrolase YesR (URH) (EC 3.2.1.172)	yesR BSU07000	Bacillus subtilis (strain 168)	344
CAB12520.1	O31522	reviewed	YESS_BACSU	HTH-type transcriptional regulator YesS	yesS BSU07010	Bacillus subtilis (strain 168)	761
CAB12521.1	O31523	reviewed	RHGT1_BACSU	Rhamnogalacturonan acetylesterase RhgT (RGAE) (EC 3.1.1.-)	rhgT yesT BSU07020	Bacillus subtilis (strain 168)	232
CAB12522.1	O31524	reviewed	YESU_BACSU	Uncharacterized protein YesU	yesU BSU07030	Bacillus subtilis (strain 168)	220
CAB12523.1	O31525	reviewed	YESV_BACSU	Uncharacterized protein YesV	yesV BSU07040	Bacillus subtilis (strain 168)	208
CAB12524.1	O31526	reviewed	YESW_BACSU	Rhamnogalacturonan endolyase YesW (EC 4.2.2.23)	yesW BSU07050	Bacillus subtilis (strain 168)	620
CAB12525.1	O31527	reviewed	YESX_BACSU	Rhamnogalacturonan exolyase YesX (EC 4.2.2.24)	yesX BSU07060	Bacillus subtilis (strain 168)	612
CAB12526.1	O31528	reviewed	RHGT2_BACSU	Probable rhamnogalacturonan acetylesterase YesY (RGAE) (EC 3.1.1.-)	yesY BSU07070	Bacillus subtilis (strain 168)	217
CAB12527.1	O31529	reviewed	BGAL1_BACSU	Beta-galactosidase YesZ (Beta-gal) (EC 3.2.1.23) (Probable rhamnogalacturonan beta-galactosidase)	yesZ BSU07080	Bacillus subtilis (strain 168)	663
CAB12528.2	O31530	reviewed	YETA_BACSU	Uncharacterized protein YetA	yetA BSU07090	Bacillus subtilis (strain 168)	857
CAB12529.1	P37966	reviewed	LIPO_BACSU	Lipoprotein LipO (Lipoprotein LplA)	lipO lplA BSU07100	Bacillus subtilis (strain 168)	502
CAB12530.1	P39128	reviewed	LPLB_BACSU	Protein LplB	lplB BSU07110	Bacillus subtilis (strain 168)	318
CAB12531.1	P39129	reviewed	LPLC_BACSU	Protein LplC	lplC BSU07120	Bacillus subtilis (strain 168)	295
CAB12532.1	P39130	reviewed	LPLD_BACSU	Alpha-galacturonidase (EC 3.2.1.67)	lplD BSU07130	Bacillus subtilis (strain 168)	446
CAB12533.1	O31533	reviewed	YETF_BACSU	UPF0702 transmembrane protein YetF	yetF BSU07140	Bacillus subtilis (strain 168)	231
CAB12534.2	O31534	reviewed	HMOA_BACSU	Heme-degrading monooxygenase HmoA (EC 1.14.14.18) (Heme oxygenase)	hmoA yetG BSU07150	Bacillus subtilis (strain 168)	108
CAB12535.1	O31535	reviewed	YETH_BACSU	Uncharacterized protein YetH	yetH BSU07160	Bacillus subtilis (strain 168)	120
CAB12538.1	O31538	reviewed	YEZD_BACSU	Uncharacterized protein YezD	yezD BSU07190	Bacillus subtilis (strain 168)	55
CAB12539.1	O31539	reviewed	YETJ_BACSU	Uncharacterized protein YetJ	yetJ BSU07200	Bacillus subtilis (strain 168)	214
CAB12540.1	O31540	reviewed	YETK_BACSU	Uncharacterized transporter YetK	yetK BSU07210	Bacillus subtilis (strain 168)	330
CAB12541.1	O31541	reviewed	YETL_BACSU	HTH-type transcriptional repressor YetL	yetL BSU07220	Bacillus subtilis (strain 168)	167
CAB12542.1	O06489	reviewed	YETM_BACSU	Putative FAD-dependent monooxygenase YetM (EC 1.14.-.-)	yetM yfnL BSU07230	Bacillus subtilis (strain 168)	369
CAB12543.1	O06490	reviewed	YETN_BACSU	Uncharacterized protein YetN	yetN BSU07240	Bacillus subtilis (strain 168)	356
CAB12544.1	O08394	reviewed	CYPD_BACSU	Bifunctional cytochrome P450/NADPH--P450 reductase 1 (CYP102A2) (Fatty acid hydroxylase CypD) (Flavocytochrome P450 102A2) [Includes: Cytochrome P450 102A2 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypD cyp102A2 yetO yfnJ BSU07250	Bacillus subtilis (strain 168)	1061
CAB12545.2	Q797B3	reviewed	LTAS1_BACSU	Lipoteichoic acid synthase 1 [Cleaved into: Glycerol phosphate lipoteichoic acid synthase 1 (LTA synthase 1) (EC 2.7.8.-) (Polyglycerol phosphate synthase 1); Processed glycerol phosphate lipoteichoic acid synthase 1]	ltaS1 yfnI BSU07260	Bacillus subtilis (strain 168)	639
CAB12546.1	O06486	reviewed	RFBF_BACSU	Probable glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33) (CDP-glucose pyrophosphorylase)	yfnH BSU07270	Bacillus subtilis (strain 168)	254
CAB12547.2	O06485	reviewed	YFNG_BACSU	Putative sugar dehydratase/epimerase YfnG	yfnG BSU07280	Bacillus subtilis (strain 168)	322
CAB12548.1	O06484	reviewed	YFNF_BACSU	Uncharacterized protein YfnF	yfnF BSU07290	Bacillus subtilis (strain 168)	303
CAB12549.1	O06483	reviewed	YFNE_BACSU	Uncharacterized glycosyltransferase YfnE (EC 2.4.-.-)	yfnE BSU07300	Bacillus subtilis (strain 168)	392
CAB12550.1	O31542	reviewed	YFND_BACSU	Uncharacterized protein YfnD	yfnD BSU07310	Bacillus subtilis (strain 168)	311
CAB12551.1	O06481	reviewed	YFNC_BACSU	Uncharacterized MFS-type transporter YfnC	yfnC BSU07320	Bacillus subtilis (strain 168)	409
CAB12552.1	O06480	reviewed	YFNB_BACSU	Putative HAD-hydrolase YfnB (EC 3.-.-.-)	yfnB BSU07330	Bacillus subtilis (strain 168)	235
CAB12553.1	Q797A7	reviewed	MTRTR_BACSU	Methylthioribose transporter	mtrA yfnA BSU07340	Bacillus subtilis (strain 168)	461
CAB12554.1	O06478	reviewed	ALDH5_BACSU	Benzaldehyde dehydrogenase YfmT (EC 1.2.1.28) (Vanillin dehydrogenase) (EC 1.2.1.67)	yfmT BSU07350	Bacillus subtilis (strain 168)	485
CAB12555.1	O06477	reviewed	YFMS_BACSU	Putative sensory transducer protein YfmS (Methyl-accepting chemotaxis protein)	yfmS BSU07360	Bacillus subtilis (strain 168)	286
CAB12556.1	O06476	reviewed	YFMR_BACSU	Uncharacterized ABC transporter ATP-binding protein YfmR (EC 7.-.-.-)	yfmR BSU07370	Bacillus subtilis (strain 168)	629
CAB12557.1	O06475	reviewed	YFMQ_BACSU	Uncharacterized protein YfmQ	yfmQ BSU07380	Bacillus subtilis (strain 168)	148
CAB12558.1	O06474	reviewed	YFMP_BACSU	HTH-type transcriptional regulator YfmP	yfmP BSU07390	Bacillus subtilis (strain 168)	140
CAB12559.1	O06473	reviewed	YFMO_BACSU	Multidrug efflux protein YfmO	yfmO BSU07400	Bacillus subtilis (strain 168)	396
CAB12560.1	O06472	reviewed	YFMN_BACSU	Uncharacterized protein YfmN	yfmN BSU07410	Bacillus subtilis (strain 168)	51
CAB12571.2	O34512	reviewed	YFMM_BACSU	Uncharacterized ABC transporter ATP-binding protein YfmM (EC 7.-.-.-)	yfmM BSU07420	Bacillus subtilis (strain 168)	518
CAB12572.1	O34750	reviewed	YFML_BACSU	Probable ATP-dependent RNA helicase YfmL (EC 3.6.4.13)	yfmL BSU07430	Bacillus subtilis (strain 168)	376
CAB12573.1	O34536	reviewed	YFMK_BACSU	Uncharacterized N-acetyltransferase YfmK (EC 2.3.1.-)	yfmK BSU07440	Bacillus subtilis (strain 168)	148
CAB12574.1	O34812	reviewed	YFMJ_BACSU	Putative NADP-dependent oxidoreductase YfmJ (EC 1.-.-.-)	yfmJ BSU07450	Bacillus subtilis (strain 168)	339
CAB12575.1	O34440	reviewed	YFMI_BACSU	Uncharacterized MFS-type transporter YfmI	yfmI BSU07460	Bacillus subtilis (strain 168)	406
CAB12577.1	O34722	reviewed	YFMG_BACSU	Uncharacterized protein YfmG	yfmG BSU07480	Bacillus subtilis (strain 168)	487
CAB12578.1	O34510	reviewed	YFMF_BACSU	Fe(3+)-citrate import ATP-binding protein YfmF (Ferric-citrate import ATP-binding protein) (EC 7.3.2.-)	yfmF BSU07490	Bacillus subtilis (strain 168)	266
CAB12579.1	O34832	reviewed	YFME_BACSU	Fe(3+)-citrate import system permease protein YfmE (Ferric-citrate import system permease protein)	yfmE BSU07500	Bacillus subtilis (strain 168)	333
CAB12580.1	O34933	reviewed	YFMD_BACSU	Fe(3+)-citrate import system permease protein YfmD (Ferric-citrate import system permease protein)	yfmD BSU07510	Bacillus subtilis (strain 168)	333
CAB12581.1	O34348	reviewed	YFMC_BACSU	Fe(3+)-citrate-binding protein YfmC (Ferric-citrate-binding protein)	yfmC BSU07520	Bacillus subtilis (strain 168)	315
CAB12582.1	O34626	reviewed	YFMB_BACSU	Uncharacterized protein YfmB	yfmB BSU07530	Bacillus subtilis (strain 168)	122
CAB12584.1	P80241	reviewed	G17M_BACSU	General stress protein 17M (GSP17M)	yflT BSU07550	Bacillus subtilis (strain 168)	115
CAB12585.1	P39116	reviewed	PLY_BACSU	Pectate lyase (PL) (EC 4.2.2.2)	pel BSU07560	Bacillus subtilis (strain 168)	420
CAB12586.1	O34726	reviewed	YFLS_BACSU	Putative malate transporter YflS	yflS BSU07570	Bacillus subtilis (strain 168)	478
CAB12587.1	O34427	reviewed	CITS_BACSU	Sensor protein CitS (EC 2.7.13.3)	citS yflR BSU07580	Bacillus subtilis (strain 168)	542
CAB12588.1	O34534	reviewed	CITT_BACSU	Transcriptional regulatory protein CitT	citT yflQ BSU07590	Bacillus subtilis (strain 168)	226
CAB12589.2	O34439	reviewed	YFLP_BACSU	UPF0065 protein YflP	yflP BSU07600	Bacillus subtilis (strain 168)	319
CAB12590.1	P55069	reviewed	CITM_BACSU	Mg(2+)/citrate complex secondary transporter	citM yflO BSU07610	Bacillus subtilis (strain 168)	433
CAB12591.1	O34409	reviewed	YFLN_BACSU	Probable metallo-hydrolase YflN (EC 3.-.-.-)	yflN BSU07620	Bacillus subtilis (strain 168)	264
CAB12592.2	O34453	reviewed	NOSO_BACSU	Nitric oxide synthase oxygenase (EC 1.14.14.47) (NOSoxy-like protein)	nos yflM BSU07630	Bacillus subtilis (strain 168)	363
CAB12593.1	O35031	reviewed	ACYP_BACSU	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	acyP AcP yflL BSU07640	Bacillus subtilis (strain 168)	91
CAB12594.1	O34542	reviewed	YFLK_BACSU	Uncharacterized protein YflK	yflK BSU07650	Bacillus subtilis (strain 168)	221
CAB12595.1	O34345	reviewed	YFLJ_BACSU	Uncharacterized protein YflJ	yflJ BSU07660	Bacillus subtilis (strain 168)	45
CAB12596.1	O34905	reviewed	YFLI_BACSU	Uncharacterized protein YflI	yflI BSU07670	Bacillus subtilis (strain 168)	51
CAB12597.1	O34306	reviewed	YFLH_BACSU	Uncharacterized protein YflH	yflH BSU07680	Bacillus subtilis (strain 168)	104
CAB12598.1	O34484	reviewed	MAP12_BACSU	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18)	mapB yflG BSU07690	Bacillus subtilis (strain 168)	249
CAB12599.1	O34521	reviewed	PTWCB_BACSU	PTS system N-acetylglucosamine-specific EIICB component (EIICB-Nag) [Includes: N-acetylglucosamine permease IIC component (PTS system N-acetylglucosamine-specific EIIC component); N-acetylglucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system N-acetylglucosamine-specific EIIB component)]	nagP yflF BSU07700	Bacillus subtilis (strain 168)	452
CAB12600.1	O34952	reviewed	LTAS2_BACSU	Lipoteichoic acid synthase 2 [Cleaved into: Glycerol phosphate lipoteichoic acid synthase 2 (LTA synthase 1) (EC 2.7.8.-) (Polyglycerol phosphate synthase 2); Processed glycerol phosphate lipoteichoic acid synthase 2]	ltaS2 yflE BSU07710	Bacillus subtilis (strain 168)	649
CAB12601.1	O34489	reviewed	YFLD_BACSU	Uncharacterized protein YflD	yflD BSU07720	Bacillus subtilis (strain 168)	45
CAB12603.2	O34887	reviewed	YFLB_BACSU	Uncharacterized protein YflB	yflB BSU07740	Bacillus subtilis (strain 168)	130
CAB12604.1	O34708	reviewed	YFLA_BACSU	Uncharacterized transporter YflA	yflA BSU07750	Bacillus subtilis (strain 168)	471
CAB12605.1	O34573	reviewed	YFKT_BACSU	Putative spore germination protein YfkT	yfkT BSU07760	Bacillus subtilis (strain 168)	358
CAB12606.1	O35036	reviewed	YFKS_BACSU	Uncharacterized protein YfkS	yfkS BSU07770	Bacillus subtilis (strain 168)	66
CAB12607.1	O35028	reviewed	YFKR_BACSU	Putative spore germination protein YfkR	yfkR BSU07780	Bacillus subtilis (strain 168)	384
CAB12608.1	O34486	reviewed	YFKQ_BACSU	Uncharacterized membrane protein YfkQ	yfkQ BSU07790	Bacillus subtilis (strain 168)	513
CAB12609.1	P39794	reviewed	PTTBC_BACSU	PTS system trehalose-specific EIIBC component (EIIBC-Tre) (EII-Tre) [Includes: Trehalose-specific phosphotransferase enzyme IIB component (EC 2.7.1.201) (PTS system trehalose-specific EIIB component); Trehalose permease IIC component (PTS system trehalose-specific EIIC component)]	treP treB BSU07800	Bacillus subtilis (strain 168)	470
CAB12610.1	P39795	reviewed	TREC_BACSU	Trehalose-6-phosphate hydrolase (EC 3.2.1.93) (Alpha,alpha-phosphotrehalase) (Phospho-alpha-(1-1)-glucosidase)	treA treC BSU07810	Bacillus subtilis (strain 168)	561
CAB12611.1	P39796	reviewed	TRER_BACSU	HTH-type transcriptional regulator TreR (Trehalose operon repressor)	treR yfxA BSU07820	Bacillus subtilis (strain 168)	238
CAB12612.1	O34475	reviewed	YFKO_BACSU	Putative NAD(P)H nitroreductase YfkO (EC 1.-.-.-)	yfkO BSU07830	Bacillus subtilis (strain 168)	221
CAB12613.1	O34313	reviewed	NTPES_BACSU	Trifunctional nucleotide phosphoesterase protein YfkN [Includes: 2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16); 5'-nucleotidase (EC 3.1.3.5)]	yfkN BSU07840	Bacillus subtilis (strain 168)	1462
CAB12614.1	P80876	reviewed	GS18_BACSU	General stress protein 18 (GSP18) (EC 3.2.-.-)	yfkM BSU07850	Bacillus subtilis (strain 168)	172
CAB12615.1	O34597	reviewed	YFKL_BACSU	Uncharacterized MFS-type transporter YfkL	yfkL BSU07860	Bacillus subtilis (strain 168)	396
CAB12616.1	O35019	reviewed	YFKK_BACSU	UPF0435 protein YfkK	yfkK BSU07870	Bacillus subtilis (strain 168)	71
CAB12617.1	O35016	reviewed	YFKJ_BACSU	Low molecular weight protein-tyrosine-phosphatase YfkJ (LMPTP) (EC 3.1.3.48)	yfkJ BSU07880	Bacillus subtilis (strain 168)	156
CAB12618.1	O34418	reviewed	YFKI_BACSU	Uncharacterized protein YfkI	yfkI BSU07890	Bacillus subtilis (strain 168)	106
