,gene_id,gene_name,gene_ontology
1163,BSU_15720,defA,co-translational protein modification
1164,BSU_15720,defA,N-terminal protein amino acid modification
1165,BSU_15720,defA,peptidyl-methionine modification
1166,BSU_15710,priA,DNA unwinding involved in DNA replication
1167,BSU_15710,priA,double-strand break repair
1168,BSU_15710,priA,DNA replication initiation
1169,BSU_15710,priA,DNA recombination
1170,BSU_15710,priA,3'-5' DNA helicase activity
1171,BSU_27820,yrbC,cytosol
1178,BSU_03910,gabD,succinate-semialdehyde dehydrogenase (NAD+) activity
1179,BSU_03900,gabT,gamma-aminobutyric acid catabolic process
1180,BSU_03900,gabT,4-aminobutyrate transaminase activity
1181,BSU_03900,gabT,pyridoxal phosphate binding
1182,BSU_03900,gabT,cytosol
1183,BSU_03870,ycnE,catalytic activity
1184,BSU_03850,ycnC,DNA-binding transcription factor activity
1185,BSU_03850,ycnC,transcription regulatory region sequence-specific DNA binding
1186,BSU_03850,ycnC,"regulation of transcription, DNA-templated"
1187,BSU_03840,ycnB,membrane
1199,BSU_03760,yclK,osmosensory signaling via phosphorelay pathway
1200,BSU_03760,yclK,protein kinase activator activity
1201,BSU_03760,yclK,phosphorelay response regulator activity
1202,BSU_03750,yclJ,protein-DNA complex
1203,BSU_03750,yclJ,phosphorelay response regulator activity
1204,BSU_03750,yclJ,cytosol
1205,BSU_03750,yclJ,DNA-binding transcription activator activity
1206,BSU_03750,yclJ,transcription regulatory region sequence-specific DNA binding
1207,BSU_03740,yclI,transmembrane transporter activity
1208,BSU_03740,yclI,plasma membrane
1209,BSU_03730,yclH,transmembrane transport
1210,BSU_03730,yclH,transmembrane transporter activity
1211,BSU_03730,yclH,plasma membrane
1212,BSU_03640,bsdC,cytosol
1213,BSU_03640,bsdC,cytoplasm
1214,BSU_03640,bsdC,carboxy-lyase activity
1215,BSU_03640,bsdC,ubiquinone biosynthetic process
1216,BSU_03640,bsdC,3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity
1218,BSU_03620,bsdA,bacterial-type cis-regulatory region sequence-specific DNA binding
1219,BSU_03620,bsdA,cytosol
1220,BSU_03620,bsdA,"regulation of transcription, DNA-templated"
1221,BSU_01410,rpsM,cytosol
1222,BSU_01410,rpsM,small ribosomal subunit
1223,BSU_03220,putP,proline:sodium symporter activity
1224,BSU_03220,putP,proline transmembrane transport
1225,BSU_03210,putC,cytoplasmic side of plasma membrane
1226,BSU_03210,putC,proline catabolic process to glutamate
1227,BSU_03210,putC,1-pyrroline-5-carboxylate dehydrogenase activity
1228,BSU_03180,cah,polysaccharide metabolic process
1229,BSU_03180,cah,carboxylic ester hydrolase activity
1230,BSU_03170,ycgK,DNA-binding transcription factor activity
1231,BSU_03170,ycgK,bacterial-type cis-regulatory region sequence-specific DNA binding
1232,BSU_03170,ycgK,"regulation of transcription, DNA-templated"
1233,BSU_03170,ycgK,protein-DNA complex
1234,BSU_03090,ycgF,L-arginine transport
1235,BSU_03090,ycgF,amino acid transmembrane transporter activity
1236,BSU_03090,ycgF,integral component of plasma membrane
1237,BSU_03090,ycgF,amino acid transport
1238,BSU_03090,ycgF,arginine transmembrane transporter activity
1241,BSU_38630,katX,response to hydrogen peroxide
1242,BSU_38630,katX,hydrogen peroxide catabolic process
1243,BSU_38630,katX,catalase activity
1244,BSU_38630,katX,cytoplasm
1245,BSU_38630,katX,heme binding
1246,BSU_38710,yxlA,transmembrane transporter activity
1247,BSU_38710,yxlA,transport
1248,BSU_38710,yxlA,plasma membrane
1253,BSU_38730,cydD,ATPase-coupled transmembrane transporter activity
1254,BSU_38730,cydD,integral component of plasma membrane
1255,BSU_38740,cydC,ATPase-coupled transmembrane transporter activity
1256,BSU_38740,cydC,transmembrane transport
1257,BSU_38750,cydB,aerobic electron transport chain
1258,BSU_38750,cydB,cytochrome complex
1259,BSU_38750,cydB,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"
1260,BSU_38750,cydB,electron transfer activity
1261,BSU_38760,cydA,plasma membrane
1262,BSU_38760,cydA,aerobic electron transport chain
1263,BSU_38760,cydA,electron transfer activity
1264,BSU_38760,cydA,cytochrome complex
1265,BSU_38760,cydA,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"
1266,BSU_38760,cydA,heme binding
1267,BSU_38810,msmX,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
1268,BSU_18500,yoxD,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
1269,BSU_00180,tadA,tRNA-specific adenosine-34 deaminase activity
1270,BSU_00180,tadA,tRNA wobble adenosine to inosine editing
1271,BSU_27900,pheA,prephenate dehydratase activity
1272,BSU_27900,pheA,cytoplasm
1273,BSU_27900,pheA,L-phenylalanine biosynthetic process
1274,BSU_11420,trpS,cytosol
1275,BSU_11420,trpS,tryptophanyl-tRNA aminoacylation
1276,BSU_11420,trpS,tryptophan-tRNA ligase activity
1277,BSU_25550,rpsT,small ribosomal subunit
1278,BSU_25550,rpsT,cytosol
1279,BSU_25550,rpsT,small ribosomal subunit rRNA binding
1280,BSU_01200,rpsS,cytosolic small ribosomal subunit
1281,BSU_01200,rpsS,ribosomal small subunit assembly
1282,BSU_01200,rpsS,structural constituent of ribosome
1283,BSU_40890,rpsR,structural constituent of ribosome
1284,BSU_40890,rpsR,cytosolic small ribosomal subunit
1285,BSU_40890,rpsR,small ribosomal subunit rRNA binding
1286,BSU_15990,rpsP,small ribosomal subunit
1287,BSU_15990,rpsP,structural constituent of ribosome
1288,BSU_16680,rpsO,cytosolic small ribosomal subunit
1289,BSU_01100,rpsL,structural constituent of ribosome
1290,BSU_01100,rpsL,ribosome
1291,BSU_01100,rpsL,translation
1292,BSU_01150,rpsJ,small ribosomal subunit
1293,BSU_01150,rpsJ,structural constituent of ribosome
1294,BSU_01500,rpsI,structural constituent of ribosome
1295,BSU_01500,rpsI,cytosolic small ribosomal subunit
1296,BSU_01500,rpsI,RNA binding
1297,BSU_01500,rpsI,small ribosomal subunit
1298,BSU_01110,rpsG,structural constituent of ribosome
1299,BSU_01110,rpsG,mRNA binding
1300,BSU_01110,rpsG,cytosolic small ribosomal subunit
1301,BSU_01110,rpsG,rRNA binding
1302,BSU_01110,rpsG,translation
1303,BSU_01110,rpsG,ribosomal small subunit assembly
1304,BSU_01110,rpsG,ribosome
1305,BSU_40910,rpsF,cytosolic small ribosomal subunit
1306,BSU_40910,rpsF,structural constituent of ribosome
1307,BSU_40910,rpsF,small ribosomal subunit rRNA binding
1308,BSU_01330,rpsE,cytosolic small ribosomal subunit
1309,BSU_01330,rpsE,translation
1310,BSU_01330,rpsE,structural constituent of ribosome
1311,BSU_29660,rpsD,small ribosomal subunit
1312,BSU_29660,rpsD,rRNA binding
1313,BSU_29660,rpsD,positive regulation of translational fidelity
1314,BSU_29660,rpsD,structural constituent of ribosome
1315,BSU_01220,rpsC,structural constituent of ribosome
1316,BSU_01220,rpsC,cytosolic small ribosomal subunit
1317,BSU_16490,rpsB,structural constituent of ribosome
1318,BSU_16490,rpsB,cytosolic small ribosomal subunit
1322,BSU_00920,gltX,glutamate-tRNA ligase activity
1323,BSU_00920,gltX,glutamyl-tRNA aminoacylation
1324,BSU_00920,gltX,cytosol
1325,BSU_33920,tpiA,glyceraldehyde-3-phosphate biosynthetic process
1326,BSU_33920,tpiA,cytosol
1327,BSU_33920,tpiA,triose-phosphate isomerase activity
1328,BSU_33920,tpiA,gluconeogenesis
1329,BSU_33920,tpiA,glycolytic process
1330,BSU_33920,tpiA,glycerol catabolic process
1331,BSU_14580,pdhA,acetyl-CoA biosynthetic process from pyruvate
1332,BSU_14580,pdhA,pyruvate dehydrogenase (acetyl-transferring) activity
1333,BSU_14610,pdhD,flavin adenine dinucleotide binding
1334,BSU_14610,pdhD,NAD(P)H dehydrogenase (quinone) activity
1335,BSU_00090,guaB,GTP biosynthetic process
1336,BSU_00090,guaB,IMP dehydrogenase activity
1337,BSU_39360,hutU,urocanate hydratase activity
1338,BSU_39360,hutU,histidine catabolic process
1339,BSU_25490,hrcA,"negative regulation of transcription, DNA-templated"
1340,BSU_27040,levG,phosphoenolpyruvate-dependent sugar phosphotransferase system
1341,BSU_27040,levG,integral component of plasma membrane
1342,BSU_27050,levF,integral component of plasma membrane
1343,BSU_27050,levF,phosphoenolpyruvate-dependent sugar phosphotransferase system
1344,BSU_15540,pyrD,cytoplasm
1345,BSU_15540,pyrD,dihydroorotate dehydrogenase activity
1346,BSU_15540,pyrD,'de novo' pyrimidine nucleobase biosynthetic process
1347,BSU_15510,pyrAA,cytoplasm
1348,BSU_15510,pyrAA,arginine biosynthetic process
1349,BSU_15510,pyrAA,carbamoyl-phosphate synthase complex
1350,BSU_15510,pyrAA,nitrogen compound metabolic process
1351,BSU_15560,pyrE,UMP biosynthetic process
1352,BSU_15560,pyrE,orotate phosphoribosyltransferase activity
1353,BSU_15560,pyrE,pyrimidine nucleobase biosynthetic process
1354,BSU_15550,pyrF,orotidine-5'-phosphate decarboxylase activity
1355,BSU_15550,pyrF,cytosol
1356,BSU_15550,pyrF,'de novo' pyrimidine nucleobase biosynthetic process
1357,BSU_41050,rnpA,"tRNA 3'-trailer cleavage, endonucleolytic"
1358,BSU_41050,rnpA,ribonuclease P activity
1359,BSU_41050,rnpA,3'-tRNA processing endoribonuclease activity
1360,BSU_41050,rnpA,ribonuclease P complex
1365,BSU_10640,sbcD,DNA binding
1366,BSU_10640,sbcD,DNA replication termination
1367,BSU_10640,sbcD,DNA repair
1368,BSU_10640,sbcD,exodeoxyribonuclease activity
1371,BSU_16310,fliM,positive chemotaxis
1372,BSU_16300,fliL,bacterial-type flagellum basal body
1373,BSU_16300,fliL,bacterial-type flagellum-dependent swarming motility
1374,BSU_06430,purK,cytosol
1375,BSU_19370,odhA,oxoglutarate dehydrogenase complex
1376,BSU_19370,odhA,tricarboxylic acid cycle
1377,BSU_19370,odhA,cytosol
1378,BSU_19370,odhA,oxoglutarate dehydrogenase (succinyl-transferring) activity
1379,BSU_28400,ysmB,"negative regulation of transcription, DNA-templated"
1380,BSU_28400,ysmB,transcription regulatory region sequence-specific DNA binding
1381,BSU_40770,tetB,transmembrane transporter activity
1382,BSU_40770,tetB,transmembrane transport
1383,BSU_40770,tetB,integral component of plasma membrane
1384,BSU_08910,queG,epoxyqueuosine reductase activity
1385,BSU_08910,queG,queuosine biosynthetic process
1386,BSU_29100,phoR,integral component of plasma membrane
1387,BSU_29100,phoR,protein autophosphorylation
1388,BSU_29100,phoR,histidine phosphotransfer kinase activity
1389,BSU_29100,phoR,phosphorelay sensor kinase activity
1390,BSU_30830,menF,salicylic acid biosynthetic process
1391,BSU_30830,menF,isochorismate synthase activity
1392,BSU_30790,menE,CoA-ligase activity
1393,BSU_30800,menB,cytosol
1394,BSU_30800,menB,menaquinone biosynthetic process
1395,BSU_30800,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase activity"
1398,BSU_11460,oppD,transmembrane transport
1399,BSU_11460,oppD,transmembrane transporter activity
1400,BSU_11460,oppD,plasma membrane
1404,BSU_16180,flgB,bacterial-type flagellum-dependent swarming motility
1405,BSU_16180,flgB,bacterial-type flagellum hook
1406,BSU_14890,ctaC,cytochrome-c oxidase activity
1407,BSU_14890,ctaC,ATP synthesis coupled electron transport
1408,BSU_14900,ctaD,cytochrome-c oxidase activity
1409,BSU_14900,ctaD,respiratory electron transport chain
1410,BSU_14900,ctaD,aerobic respiration
1411,BSU_14900,ctaD,electron transport coupled proton transport
1415,BSU_28420,ysmA,acyl-CoA hydrolase activity
1416,BSU_25900,cwlA,peptidoglycan turnover
1417,BSU_25900,cwlA,peptidoglycan catabolic process
1418,BSU_25900,cwlA,N-acetylmuramoyl-L-alanine amidase activity
1420,BSU_11660,tenI,thiamine biosynthetic process
1421,BSU_11660,tenI,thiamine-phosphate diphosphorylase activity
1422,BSU_11660,tenI,cytoplasm
1423,BSU_00780,folB,cytoplasm
1424,BSU_00780,folB,folic acid-containing compound metabolic process
1425,BSU_00780,folB,dihydroneopterin aldolase activity
1429,BSU_00760,pabC,cytosol
1430,BSU_00760,pabC,carboxylic acid metabolic process
1431,BSU_00740,pabB,tryptophan biosynthetic process
1432,BSU_00750,pabA,tryptophan biosynthetic process
1433,BSU_23310,sipS,integral component of plasma membrane
1434,BSU_23310,sipS,serine-type endopeptidase activity
1435,BSU_23310,sipS,signal peptide processing
1436,BSU_28370,rph,rRNA catabolic process
1437,BSU_02650,pcp,proteolysis
1438,BSU_13690,motA,integral component of membrane
1439,BSU_13690,motA,bacterial-type flagellum-dependent swarming motility
1440,BSU_13690,motA,plasma membrane
1456,BSU_35300,secA,cell envelope Sec protein transport complex
1457,BSU_35300,secA,ABC-type protein transporter activity
1458,BSU_35300,secA,ATP binding
1459,BSU_35300,secA,protein transport by the Sec complex
1460,BSU_35300,secA,cytosol
1461,BSU_35300,secA,integral component of plasma membrane
1462,BSU_15280,ftsA,cell division
1463,BSU_15280,ftsA,cell division site
1464,BSU_15280,ftsA,cytoplasmic side of plasma membrane
1465,BSU_11430,oppA,peptide transmembrane transporter activity
1466,BSU_11430,oppA,outer membrane-bounded periplasmic space
1467,BSU_11430,oppA,peptide transport
1468,BSU_16190,flgC,bacterial-type flagellum-dependent swarming motility
1469,BSU_16190,flgC,bacterial-type flagellum hook
1470,BSU_40090,ahpC,cell redox homeostasis
1471,BSU_40090,ahpC,hydrogen peroxide catabolic process
1472,BSU_40090,ahpC,thioredoxin peroxidase activity
1473,BSU_40090,ahpC,cytosol
1474,BSU_40090,ahpC,cellular response to stress
1475,BSU_40090,ahpC,response to oxidative stress
1476,BSU_28230,tig,protein unfolding
1477,BSU_28230,tig,protein folding chaperone
1478,BSU_28230,tig,peptidyl-prolyl cis-trans isomerase activity
1479,BSU_28230,tig,'de novo' cotranslational protein folding
1480,BSU_28230,tig,chaperone-mediated protein folding
1481,BSU_28230,tig,ribosome binding
1482,BSU_23860,gndA,NADP binding
1483,BSU_23860,gndA,phosphogluconate dehydrogenase (decarboxylating) activity
1484,BSU_23860,gndA,"pentose-phosphate shunt, oxidative branch"
1485,BSU_23860,gndA,D-gluconate catabolic process
1486,BSU_23860,gndA,cytosol
1487,BSU_01120,fusA,ribosome disassembly
1488,BSU_01120,fusA,cytosol
1489,BSU_02830,ycdF,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
1490,BSU_31390,yugI,translation
1491,BSU_31390,yugI,mRNA binding
1492,BSU_31390,yugI,structural constituent of ribosome
1493,BSU_35990,ywrO,NAD(P)H dehydrogenase (quinone) activity
1494,BSU_35990,ywrO,positive regulation of ion transmembrane transporter activity
1495,BSU_35990,ywrO,electron transfer activity
1496,BSU_35990,ywrO,FMN binding
1497,BSU_16090,sucC,succinate-CoA ligase complex
1498,BSU_16090,sucC,succinyl-CoA metabolic process
1499,BSU_16090,sucC,tricarboxylic acid cycle
1500,BSU_16090,sucC,succinate-CoA ligase (ADP-forming) activity
1501,BSU_16090,sucC,cytosol
1502,BSU_38140,qoxD,integral component of plasma membrane
1503,BSU_38140,qoxD,cytochrome bo3 ubiquinol oxidase activity
1504,BSU_38140,qoxD,cytochrome o ubiquinol oxidase complex
1505,BSU_38140,qoxD,electron transport coupled proton transport
1506,BSU_38140,qoxD,electron transfer activity
1507,BSU_38140,qoxD,oxidoreduction-driven active transmembrane transporter activity
1508,BSU_38140,qoxD,aerobic electron transport chain
1509,BSU_38140,qoxD,proton transmembrane transporter activity
1510,BSU_38150,qoxC,aerobic respiration
1511,BSU_38150,qoxC,oxidoreduction-driven active transmembrane transporter activity
1512,BSU_38150,qoxC,electron transfer activity
1513,BSU_38150,qoxC,electron transport coupled proton transport
1514,BSU_38150,qoxC,cytochrome o ubiquinol oxidase complex
1515,BSU_38150,qoxC,integral component of plasma membrane
1516,BSU_38150,qoxC,aerobic electron transport chain
1517,BSU_38150,qoxC,cytochrome bo3 ubiquinol oxidase activity
1518,BSU_38170,qoxA,cytochrome-c oxidase activity
1519,BSU_38170,qoxA,ATP synthesis coupled electron transport
1520,BSU_38160,qoxB,respiratory electron transport chain
1521,BSU_38160,qoxB,cytochrome-c oxidase activity
1522,BSU_38160,qoxB,aerobic respiration
1523,BSU_38160,qoxB,electron transport coupled proton transport
1524,BSU_11150,yitV,lipase activity
1525,BSU_11150,yitV,membrane
1526,BSU_16380,flhB,plasma membrane
1527,BSU_16370,fliR,plasma membrane
1528,BSU_23110,resE,osmosensory signaling via phosphorelay pathway
1529,BSU_23110,resE,protein kinase activator activity
1530,BSU_23110,resE,phosphorelay response regulator activity
1531,BSU_23120,resD,protein-DNA complex
1532,BSU_23120,resD,cytosol
1533,BSU_23120,resD,phosphorelay response regulator activity
1534,BSU_23120,resD,DNA-binding transcription activator activity
1535,BSU_23120,resD,transcription regulatory region sequence-specific DNA binding
1536,BSU_23130,resC,heme transport
1537,BSU_23130,resC,plasma membrane
1538,BSU_23170,spmB,plasma membrane
1541,BSU_31050,gbsB,cytosol
1542,BSU_31050,gbsB,alcohol dehydrogenase (NAD+) activity
1543,BSU_36550,spoIIQ,metalloendopeptidase activity
1544,BSU_37580,ywgB,cytosol
1545,BSU_37580,ywgB,"regulation of transcription, DNA-templated"
1546,BSU_37580,ywgB,DNA-binding transcription factor activity
1547,BSU_39820,htpG,cellular response to DNA damage stimulus
1548,BSU_39820,htpG,response to heat
1549,BSU_39820,htpG,protein folding
1550,BSU_39820,htpG,ATPase activity
1551,BSU_39820,htpG,cytosol
1552,BSU_39820,htpG,unfolded protein binding
1553,BSU_25810,arsR,"regulation of transcription, DNA-templated"
1554,BSU_25810,arsR,transcription regulatory region sequence-specific DNA binding
1555,BSU_25790,arsB,antiporter activity
1556,BSU_25790,arsB,antimonite transmembrane transporter activity
1557,BSU_25790,arsB,antimonite transport
1558,BSU_25790,arsB,arsenite transmembrane transporter activity
1559,BSU_25790,arsB,plasma membrane
1560,BSU_25790,arsB,arsenite transport
1561,BSU_25800,yqcK,response to cadmium ion
1564,BSU_37050,maeA,pyruvate metabolic process
1565,BSU_37050,maeA,cytosol
1566,BSU_37050,maeA,malate metabolic process
1567,BSU_37050,maeA,malic enzyme activity
1568,BSU_37230,ywjA,ATPase-coupled transmembrane transporter activity
1569,BSU_37230,ywjA,ATPase-coupled lipid transmembrane transporter activity
1570,BSU_37230,ywjA,transmembrane transport
1571,BSU_24140,mmgD,carbohydrate metabolic process
1572,BSU_24140,mmgD,tricarboxylic acid cycle
1573,BSU_24140,mmgD,citrate (Si)-synthase activity
1574,BSU_24170,mmgA,fatty acid beta-oxidation
1575,BSU_24170,mmgA,acetyl-CoA C-acetyltransferase activity
1579,BSU_35550,tuaG,"transferase activity, transferring glycosyl groups"
1580,BSU_35540,tuaH,"transferase activity, transferring glycosyl groups"
1581,BSU_34680,yvcT,cytosol
1582,BSU_34680,yvcT,hydroxypyruvate reductase activity
1583,BSU_34680,yvcT,glyoxylate reductase (NADP+) activity
1587,BSU_34010,yvbW,amino acid transmembrane transport
1588,BSU_34010,yvbW,amino acid transmembrane transporter activity
1589,BSU_34010,yvbW,integral component of membrane
1590,BSU_33990,yvbU,"regulation of transcription, DNA-templated"
1591,BSU_33990,yvbU,cytosol
1592,BSU_33990,yvbU,bacterial-type cis-regulatory region sequence-specific DNA binding
1593,BSU_33670,rghRB,DNA-binding transcription factor activity
1594,BSU_33670,rghRB,"regulation of transcription, DNA-templated"
1597,BSU_33610,rnr,cytosol
1598,BSU_33600,smpB,RNA binding
1599,BSU_33600,smpB,cytosol
1600,BSU_33600,smpB,trans-translation-dependent protein tagging
1601,BSU_33580,yvaF,"regulation of transcription, DNA-templated"
1602,BSU_33580,yvaF,transcription regulatory region sequence-specific DNA binding
1603,BSU_33580,yvaF,DNA-binding transcription factor activity
1604,BSU_33550,yvaC,plasma membrane
1605,BSU_33550,yvaC,transmembrane transport
1606,BSU_33550,yvaC,transmembrane transporter activity
1607,BSU_33500,copA,P-type divalent copper transporter activity
1608,BSU_33490,cadA,zinc ion transmembrane transporter activity
1609,BSU_33490,cadA,cadmium ion transmembrane transporter activity
1610,BSU_33460,yvgT,plasma membrane
1611,BSU_33450,helD,3'-5' DNA helicase activity
1612,BSU_33450,helD,recombinational repair
1613,BSU_33450,helD,cytosol
1614,BSU_33440,cysJ,oxidoreductase activity
1615,BSU_33440,cysJ,cytosol
1616,BSU_33440,cysJ,flavin adenine dinucleotide binding
1617,BSU_33440,cysJ,FMN binding
1618,BSU_33430,cysI,sulfite reductase (ferredoxin) activity
1619,BSU_33430,cysI,sulfite reductase activity
1620,BSU_33430,cysI,sulfate assimilation
1621,BSU_33430,cysI,sulfite reductase complex (NADPH)
1622,BSU_33420,nhaK,sodium ion import across plasma membrane
1623,BSU_33420,nhaK,sodium:proton antiporter activity
1624,BSU_33420,nhaK,plasma membrane
1625,BSU_33420,nhaK,regulation of intracellular pH
1626,BSU_33420,nhaK,potassium ion transmembrane transport
1627,BSU_33420,nhaK,potassium:proton antiporter activity
1630,BSU_33020,cssS,phosphorelay sensor kinase activity
1631,BSU_33020,cssS,plasma membrane
1632,BSU_33020,cssS,integral component of membrane
1633,BSU_32920,yusT,"regulation of transcription, DNA-templated"
1634,BSU_32920,yusT,transcription regulatory region sequence-specific DNA binding
1638,BSU_32830,fadA,acetyl-CoA C-acyltransferase activity
1639,BSU_32830,fadA,phenylacetate catabolic process
1640,BSU_32830,fadA,fatty acid beta-oxidation
1641,BSU_32810,yusI,cytosol
1642,BSU_32800,gcvH,glycine decarboxylation via glycine cleavage system
1643,BSU_32800,gcvH,cytosol
1644,BSU_32800,gcvH,protein lipoylation
1645,BSU_32800,gcvH,cytoplasm
1646,BSU_32780,yusF,rRNA processing
1647,BSU_32780,yusF,ribonuclease M5 activity
1648,BSU_32740,metP,D-methionine transport
1649,BSU_32740,metP,plasma membrane
1650,BSU_32740,metP,amino acid transport
1651,BSU_32720,yurZ,oxidoreductase activity
1652,BSU_32680,sufU,"4 iron, 4 sulfur cluster binding"
1653,BSU_32680,sufU,cytoplasm
1654,BSU_32680,sufU,ferrous iron binding
1655,BSU_32680,sufU,cellular iron ion homeostasis
1656,BSU_32680,sufU,"2 iron, 2 sulfur cluster binding"
1661,BSU_32620,yurQ,cellular response to DNA damage stimulus
1662,BSU_32620,yurQ,excinuclease repair complex
1663,BSU_32610,frlB,cytosol
1664,BSU_32610,frlB,protein N-linked glycosylation
1665,BSU_32610,frlB,fructose 6-phosphate metabolic process
1666,BSU_32610,frlB,UDP-N-acetylglucosamine metabolic process
1667,BSU_32610,frlB,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
1669,BSU_32520,pucG,peroxisome
1670,BSU_32520,pucG,"glycine biosynthetic process, by transamination of glyoxylate"
1671,BSU_32520,pucG,serine-pyruvate transaminase activity
1672,BSU_32520,pucG,alanine-glyoxylate transaminase activity
1673,BSU_32460,pucM,purine nucleobase metabolic process
1674,BSU_32450,pucL,carboxy-lyase activity
1675,BSU_32440,pucK,xanthine transmembrane transporter activity
1676,BSU_32440,pucK,xanthine transport
1677,BSU_32440,pucK,integral component of plasma membrane
1678,BSU_32430,pucJ,xanthine transport
1679,BSU_32430,pucJ,xanthine transmembrane transporter activity
1680,BSU_32430,pucJ,integral component of plasma membrane
1686,BSU_32180,yutK,symporter activity
1687,BSU_32180,yutK,nucleoside transmembrane transporter activity
1688,BSU_32180,yutK,integral component of plasma membrane
1689,BSU_32180,yutK,nucleoside transmembrane transport
1690,BSU_32170,dapF,lysine biosynthetic process via diaminopimelate
1691,BSU_32170,dapF,diaminopimelate epimerase activity
1692,BSU_32170,dapF,cytosol
1693,BSU_32160,sufA,"2 iron, 2 sulfur cluster binding"
1694,BSU_32160,sufA,protein maturation by iron-sulfur cluster transfer
1695,BSU_32160,sufA,iron-sulfur cluster assembly
1696,BSU_32160,sufA,cytoplasm
1697,BSU_31860,yueB,plasma membrane
1698,BSU_31860,yueB,transmembrane transport
1699,BSU_31860,yueB,transmembrane transporter activity
1702,BSU_31800,yueF,transmembrane transport
1703,BSU_31160,yubA,transmembrane transport
1704,BSU_31140,cdoA,ferrous iron binding
1705,BSU_31140,cdoA,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
1706,BSU_31130,yubD,transmembrane transport
1707,BSU_31130,yubD,integral component of plasma membrane
1708,BSU_31130,yubD,transmembrane transporter activity
1709,BSU_31110,yubF,integral component of plasma membrane
1710,BSU_31110,yubF,cellular response to DNA damage stimulus
1713,BSU_31000,yuaI,"transferase activity, transferring acyl groups other than amino-acyl groups"
1715,BSU_27720,queA,tRNA wobble guanine modification
1716,BSU_27720,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity
1717,BSU_27720,queA,queuosine biosynthetic process
1718,BSU_27710,tgt,queuosine biosynthetic process
1719,BSU_27710,tgt,tRNA wobble guanine modification
1720,BSU_27710,tgt,cytoplasm
1721,BSU_27710,tgt,cytosol
1722,BSU_27700,yrbF,integral component of plasma membrane
1723,BSU_27650,secDF,protein transport
1724,BSU_27560,hisS,histidine-tRNA ligase activity
1725,BSU_27560,hisS,histidyl-tRNA aminoacylation
1726,BSU_27540,tcdA,cyclic threonylcarbamoyladenosine biosynthetic process
1727,BSU_27540,tcdA,tRNA threonylcarbamoyladenosine dehydratase
1728,BSU_27360,yrrM,O-methyltransferase activity
1729,BSU_27280,yrrT,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
1730,BSU_27280,yrrT,rRNA methylation
1731,BSU_27280,yrrT,cytosol
1732,BSU_27270,mtnN,methylthioadenosine nucleosidase activity
1733,BSU_27270,mtnN,cytosol
1734,BSU_27270,mtnN,L-methionine salvage from S-adenosylmethionine
1735,BSU_27270,mtnN,adenosylhomocysteine nucleosidase activity
1740,BSU_13100,gdnD,transmembrane transporter activity
1741,BSU_13100,gdnD,integral component of plasma membrane
1742,BSU_13100,gdnD,transmembrane transport
1743,BSU_13090,gdnC,integral component of plasma membrane
1744,BSU_13090,gdnC,transmembrane transport
1745,BSU_13090,gdnC,transmembrane transporter activity
1751,BSU_17050,mutL,mismatch repair complex
1752,BSU_17050,mutL,mismatch repair
1753,BSU_17050,mutL,ATPase activity
1754,BSU_17040,mutS,mismatch repair
1755,BSU_17040,mutS,DNA-dependent ATPase activity
1756,BSU_17040,mutS,mismatch repair complex
1757,BSU_17040,mutS,mismatched DNA binding
1758,BSU_17040,mutS,adenine/cytosine mispair binding
1759,BSU_17040,mutS,cytosol
1760,BSU_29120,mdh,cytoplasm
1761,BSU_29120,mdh,L-malate dehydrogenase activity
1762,BSU_24450,efp,cytoplasm
1763,BSU_24450,efp,translation elongation factor activity
1764,BSU_33300,fhuG,integral component of plasma membrane
1765,BSU_33300,fhuG,transmembrane transporter activity
1766,BSU_33300,fhuG,siderophore-dependent iron import into cell
1767,BSU_33310,fhuB,siderophore-dependent iron import into cell
1768,BSU_33310,fhuB,transmembrane transporter activity
1769,BSU_33310,fhuB,integral component of plasma membrane
1770,BSU_28050,maf,nucleoside-triphosphate diphosphatase activity
1771,BSU_34640,yvdD,cytosol
1772,BSU_34640,yvdD,cytokinin biosynthetic process
1773,BSU_34640,yvdD,"hydrolase activity, hydrolyzing N-glycosyl compounds"
1774,BSU_01610,feuC,integral component of plasma membrane
1775,BSU_01610,feuC,siderophore-dependent iron import into cell
1776,BSU_01610,feuC,transmembrane transporter activity
1777,BSU_01620,feuB,integral component of plasma membrane
1778,BSU_01620,feuB,transmembrane transporter activity
1779,BSU_01620,feuB,siderophore-dependent iron import into cell
1780,BSU_01630,feuA,outer membrane-bounded periplasmic space
1781,BSU_01660,nagZ,peptidoglycan turnover
1782,BSU_08860,ssuD,alkanesulfonate monooxygenase activity
