## Wed Feb  7 23:50:50 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4ga3nim --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4ga3nim --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_p4ga3nim/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 2 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
BSU_10010	224308.BSU10010	6.32e-104	302.0	2CK8D@1|root,32SBU@2|Bacteria,1VAQG@1239|Firmicutes,4HHGS@91061|Bacilli,1ZF8Y@1386|Bacillus	2|Bacteria	S	Tryptophan transporter TrpP	trpP	-	-	-	-	-	-	-	-	-	-	iHN637.CLJU_RS14305,iYO844.BSU10010	TrpP
BSU_10020	224308.BSU10020	1.84e-262	718.0	COG1932@1|root,COG1932@2|Bacteria,1TP6Y@1239|Firmicutes,4HATT@91061|Bacilli,1ZB9N@1386|Bacillus	2|Bacteria	E	Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine	serC	GO:0003674,GO:0003824,GO:0004648,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006563,GO:0006564,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009987,GO:0016053,GO:0016740,GO:0016769,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.6.1.52	ko:K00831	ko00260,ko00680,ko00750,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map00750,map01100,map01120,map01130,map01200,map01230	M00020,M00124	R04173,R05085	RC00006,RC00036	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_5
BSU_10030	224308.BSU10030	3.5e-106	305.0	COG0537@1|root,COG0537@2|Bacteria,1V9ZJ@1239|Firmicutes,4HIG2@91061|Bacilli,1ZGI0@1386|Bacillus	2|Bacteria	FG	COG0537 Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases	hit	-	-	ko:K02503	-	-	-	-	ko00000,ko04147	-	-	-	HIT
BSU_10040	224308.BSU10040	2.7e-176	491.0	COG1131@1|root,COG1131@2|Bacteria,1TQIH@1239|Firmicutes,4HA2B@91061|Bacilli,1ZBAI@1386|Bacillus	2|Bacteria	V	transporter (ATP-binding protein)	ecsA	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
BSU_10050	224308.BSU10050	3.11e-272	747.0	COG4473@1|root,COG4473@2|Bacteria,1V1VG@1239|Firmicutes,4HG1K@91061|Bacilli,1ZBQG@1386|Bacillus	2|Bacteria	U	ABC transporter	ecsB	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	EcsB
BSU_10060	224308.BSU10060	5e-162	454.0	28I6D@1|root,2Z89E@2|Bacteria,1TQNW@1239|Firmicutes,4HCGQ@91061|Bacilli,1ZAQM@1386|Bacillus	2|Bacteria	S	EcsC protein family	ecsC	-	-	-	-	-	-	-	-	-	-	-	EcsC
BSU_10070	224308.BSU10070	1.38e-294	803.0	COG1473@1|root,COG1473@2|Bacteria,1TPD7@1239|Firmicutes,4H9WQ@91061|Bacilli,1ZAR7@1386|Bacillus	2|Bacteria	E	COG1473 Metal-dependent amidase aminoacylase carboxypeptidase	yhaA	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016787,GO:0016810,GO:0016811,GO:0019213,GO:0019752,GO:0019877,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046451,GO:0050118,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	3.5.1.47	ko:K01436,ko:K05823,ko:K21613	ko00300,ko01100,ko01110,ko01230,map00300,map01100,map01110,map01230	M00525	R02733	RC00064,RC00300	ko00000,ko00001,ko00002,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
BSU_10080	224308.BSU10080	0.0	866.0	COG3069@1|root,COG3069@2|Bacteria,1TQ99@1239|Firmicutes,4H9Q2@91061|Bacilli,1ZCNB@1386|Bacillus	2|Bacteria	C	membrane	yhfA	-	-	-	-	-	-	-	-	-	-	-	-
BSU_10090	1051501.AYTL01000027_gene554	1.58e-12	65.5	COG1592@1|root,COG1592@2|Bacteria,1W59I@1239|Firmicutes,4I0MS@91061|Bacilli,1ZSGB@1386|Bacillus	2|Bacteria	C	Rubrerythrin	-	-	1.15.1.2	ko:K05919,ko:K07798	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000,ko02000	2.A.6.1.4,8.A.1	-	-	Desulfoferrod_N,HlyD_D23,Rubrerythrin
BSU_10100	224308.BSU10100	1.31e-118	338.0	COG2329@1|root,COG2329@2|Bacteria,1V501@1239|Firmicutes,4HHA2@91061|Bacilli,1ZGDD@1386|Bacillus	2|Bacteria	S	enzyme involved in biosynthesis of extracellular polysaccharides	traP	GO:0005575,GO:0016020	1.14.99.57,6.2.1.3	ko:K01897,ko:K21481	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	ABM
BSU_10110	224308.BSU10110	0.0	1414.0	COG0744@1|root,COG0744@2|Bacteria,1TPM5@1239|Firmicutes,4H9SA@91061|Bacilli,1ZAXY@1386|Bacillus	2|Bacteria	M	penicillin-binding protein	pbpF	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	2.4.1.129,3.4.16.4	ko:K05365,ko:K05366,ko:K12555,ko:K18770,ko:K21464	ko00550,ko01100,ko01501,map00550,map01100,map01501	-	R04519	RC00005,RC00049	ko00000,ko00001,ko01000,ko01003,ko01011	-	GT51	-	Transgly,Transpeptidase,UB2H
BSU_10120	224308.BSU10120	7.78e-261	714.0	COG0407@1|root,COG0407@2|Bacteria,1TR8Q@1239|Firmicutes,4HAXT@91061|Bacilli,1ZDGX@1386|Bacillus	2|Bacteria	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	hemE	GO:0003674,GO:0003824,GO:0004853,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.1.1.246,4.1.1.37	ko:K01599,ko:K14080	ko00680,ko00860,ko01100,ko01110,ko01120,ko01200,map00680,map00860,map01100,map01110,map01120,map01200	M00121,M00356	R03197,R04972,R09098,R10000	RC00035,RC00872,RC01144,RC02440	ko00000,ko00001,ko00002,ko01000	-	-	iAF987.Gmet_0016	URO-D
BSU_10130	224308.BSU10130	1.19e-231	636.0	COG0276@1|root,COG0276@2|Bacteria,1TPKF@1239|Firmicutes,4HAYG@91061|Bacilli,1ZAZ6@1386|Bacillus	2|Bacteria	H	Catalyzes the ferrous insertion into protoporphyrin IX	hemH	GO:0003674,GO:0003824,GO:0004325,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.99.1.1,4.99.1.9	ko:K01772	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R00310,R11329	RC01012	ko00000,ko00001,ko00002,ko01000	-	-	-	Ferrochelatase
BSU_10140	224308.BSU10140	0.0	929.0	COG1232@1|root,COG1232@2|Bacteria,1TQ6W@1239|Firmicutes,4HAUG@91061|Bacilli,1ZANK@1386|Bacillus	2|Bacteria	H	Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX	hemG	-	1.14.19.9,1.3.3.15,1.3.3.4	ko:K00231,ko:K14266	ko00404,ko00860,ko01100,ko01110,ko01130,map00404,map00860,map01100,map01110,map01130	M00121,M00789,M00790	R03222,R04178,R09570	RC00885,RC00949	ko00000,ko00001,ko00002,ko01000	-	-	iSB619.SA_RS09325	Amino_oxidase
BSU_10150	224308.BSU10150	3.49e-133	377.0	COG1309@1|root,COG1309@2|Bacteria,1V2H2@1239|Firmicutes,4HHJD@91061|Bacilli,1ZFYK@1386|Bacillus	2|Bacteria	K	Transcriptional regulator	yhgD	GO:0000976,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0043565,GO:0044212,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:1990837,GO:2000112,GO:2001141	-	ko:K03577,ko:K09017	-	M00647	-	-	ko00000,ko00002,ko03000	-	-	-	TetR_N
BSU_10160	224308.BSU10160	0.0	962.0	COG1511@1|root,COG1511@2|Bacteria,1TQ15@1239|Firmicutes,4H9T9@91061|Bacilli,1ZBH0@1386|Bacillus	2|Bacteria	S	YhgE Pip N-terminal domain protein	yhgE	-	-	ko:K01421	-	-	-	-	ko00000	-	-	-	ABC2_membrane_3,DUF3533
BSU_10170	224308.BSU10170	8.77e-237	650.0	COG0332@1|root,COG0332@2|Bacteria,1TP0K@1239|Firmicutes,4HATK@91061|Bacilli,1ZD2T@1386|Bacillus	2|Bacteria	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids	fabH	GO:0003674,GO:0003824,GO:0006082,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009987,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0032787,GO:0033818,GO:0043436,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0071704	2.3.1.180	ko:K00648	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00082,M00083	R10707	RC00004,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	iYO844.BSU11330	ACP_syn_III,ACP_syn_III_C
BSU_10180	224308.BSU10180	1.61e-178	498.0	COG4377@1|root,COG4377@2|Bacteria,1V3UF@1239|Firmicutes,4HEYB@91061|Bacilli,1ZGJV@1386|Bacillus	2|Bacteria	S	Putative membrane peptidase family (DUF2324)	yhfC	-	-	-	-	-	-	-	-	-	-	-	DUF2324
BSU_10200	224308.BSU10200	2.68e-253	694.0	COG1363@1|root,COG1363@2|Bacteria,1TQ86@1239|Firmicutes,4HBDK@91061|Bacilli,1ZBP8@1386|Bacillus	2|Bacteria	G	peptidase M42	yhfE	-	3.2.1.4	ko:K01179,ko:K01269	ko00500,ko01100,map00500,map01100	-	R06200,R11307,R11308	-	ko00000,ko00001,ko01000	-	GH5,GH9	-	Peptidase_M42
BSU_10210	224308.BSU10210	3.75e-94	274.0	COG4405@1|root,COG4405@2|Bacteria,1VDG5@1239|Firmicutes,4HM8P@91061|Bacilli,1ZKFH@1386|Bacillus	2|Bacteria	S	ASCH	-	-	3.4.13.21	ko:K05995,ko:K06888	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	ASCH
BSU_10220	224308.BSU10220	4.77e-289	791.0	COG1301@1|root,COG1301@2|Bacteria,1TPME@1239|Firmicutes,4H9T7@91061|Bacilli,1ZCSU@1386|Bacillus	2|Bacteria	C	Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family	gltP	GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006835,GO:0008150,GO:0015711,GO:0015849,GO:0016020,GO:0044464,GO:0046942,GO:0051179,GO:0051234,GO:0071702,GO:0071944	-	ko:K03309,ko:K11102,ko:K11103	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.23,2.A.23.1.1,2.A.23.1.2,2.A.23.1.3,2.A.23.1.6,2.A.23.1.7	-	iPC815.YPO0254,iYO844.BSU10220	SDF
BSU_10230	224308.BSU10230	3.61e-29	103.0	2C2JF@1|root,33CZ0@2|Bacteria,1VN4G@1239|Firmicutes,4HR1T@91061|Bacilli,1ZK0S@1386|Bacillus	2|Bacteria	S	YhfH-like protein	yhfH	-	-	-	-	-	-	-	-	-	-	-	YhfH
BSU_10240	224308.BSU10240	5.93e-183	508.0	COG1234@1|root,COG1234@2|Bacteria,1V1TF@1239|Firmicutes,4HFNV@91061|Bacilli,1ZCZE@1386|Bacillus	2|Bacteria	S	COG1234 Metal-dependent hydrolases of the beta-lactamase superfamily III	yhfI	GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006396,GO:0006399,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0031123,GO:0034414,GO:0034470,GO:0034641,GO:0034660,GO:0040007,GO:0042779,GO:0042780,GO:0042781,GO:0043170,GO:0043628,GO:0044237,GO:0044238,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1905267	-	-	-	-	-	-	-	-	-	-	Lactamase_B_2
BSU_10250	224308.BSU10250	1.21e-246	676.0	COG0095@1|root,COG0095@2|Bacteria,1TQ5U@1239|Firmicutes,4H9P6@91061|Bacilli,1ZBIZ@1386|Bacillus	2|Bacteria	H	Lipoate-protein ligase	lplJ	GO:0003674,GO:0003824,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009249,GO:0009987,GO:0010467,GO:0016740,GO:0016746,GO:0016747,GO:0016772,GO:0016779,GO:0016874,GO:0016879,GO:0016979,GO:0017118,GO:0018065,GO:0018193,GO:0018205,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0051604,GO:0071704,GO:0140096,GO:1901564	6.3.1.20	ko:K03800	ko00785,ko01100,map00785,map01100	-	R07770,R07771,R11143	RC00043,RC00070,RC00090,RC00992,RC02896	ko00000,ko00001,ko01000	-	-	-	BPL_LplA_LipB,Lip_prot_lig_C
BSU_10260	224308.BSU10260	1.82e-144	408.0	COG0702@1|root,COG0702@2|Bacteria,1TQFS@1239|Firmicutes,4HDA2@91061|Bacilli,1ZBH3@1386|Bacillus	2|Bacteria	GM	NmrA-like family	yhfK	GO:0005575,GO:0005622,GO:0005623,GO:0044464	-	-	-	-	-	-	-	-	-	-	NAD_binding_10
BSU_10270	224308.BSU10270	0.0	1039.0	COG0318@1|root,COG0318@2|Bacteria,1TPSX@1239|Firmicutes,4HACS@91061|Bacilli,1ZPZU@1386|Bacillus	2|Bacteria	IQ	AMP-binding enzyme C-terminal domain	fadD	-	6.2.1.3	ko:K00666,ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C
BSU_10280	224308.BSU10280	2.78e-85	251.0	29RG4@1|root,30CIX@2|Bacteria,1U9Z4@1239|Firmicutes,4IK71@91061|Bacilli,1ZFIS@1386|Bacillus	2|Bacteria	-	-	yhfM	-	-	-	-	-	-	-	-	-	-	-	-
BSU_10290	224308.BSU10290	9.64e-308	838.0	COG0501@1|root,COG0501@2|Bacteria,1TRQE@1239|Firmicutes,4HD5G@91061|Bacilli,1ZC4F@1386|Bacillus	2|Bacteria	O	Peptidase M48	yhfN	GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009987,GO:0010467,GO:0016485,GO:0016787,GO:0019538,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0051604,GO:0070011,GO:0071586,GO:0071704,GO:0080120,GO:0140096,GO:1901564	3.4.24.84	ko:K06013	ko00900,ko01130,map00900,map01130	-	R09845	RC00141	ko00000,ko00001,ko01000,ko01002,ko04147	-	-	-	Peptidase_M48,Peptidase_M48_N
BSU_10300	224308.BSU10300	4.17e-261	717.0	COG1404@1|root,COG1404@2|Bacteria,1TQ2M@1239|Firmicutes,4HBYC@91061|Bacilli,1ZPV5@1386|Bacillus	2|Bacteria	O	Belongs to the peptidase S8 family	aprE	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005575,GO:0005576,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0030193,GO:0030195,GO:0032101,GO:0032102,GO:0042730,GO:0043170,GO:0044238,GO:0048519,GO:0048583,GO:0048585,GO:0050789,GO:0050818,GO:0050819,GO:0050878,GO:0051239,GO:0051241,GO:0061041,GO:0061045,GO:0065007,GO:0065008,GO:0070011,GO:0071704,GO:0080134,GO:0140096,GO:1900046,GO:1900047,GO:1901564,GO:1903034,GO:1903035	3.4.21.62	ko:K01342,ko:K13277	ko02024,map02024	-	-	-	ko00000,ko00001,ko01000,ko01002,ko03110	-	-	-	Inhibitor_I9,Peptidase_S8
BSU_10310	224308.BSU10310	2.75e-105	303.0	COG0454@1|root,COG0456@2|Bacteria,1V3W3@1239|Firmicutes,4HHYX@91061|Bacilli,1ZGJE@1386|Bacillus	2|Bacteria	K	acetyltransferase	VY92_01935	GO:0003674,GO:0003824,GO:0004596,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0031248,GO:0031365,GO:0032991,GO:0034212,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0051604,GO:0071704,GO:1901564,GO:1902493,GO:1902494,GO:1990234	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1
BSU_10320	224308.BSU10320	2.4e-232	640.0	COG0604@1|root,COG0604@2|Bacteria,1TPGR@1239|Firmicutes,4HACF@91061|Bacilli,1ZCGD@1386|Bacillus	2|Bacteria	C	Quinone oxidoreductase	yhfP	-	1.1.1.1	ko:K00001,ko:K19745	ko00010,ko00071,ko00350,ko00625,ko00626,ko00640,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00640,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220	-	R00623,R00754,R00919,R02124,R04805,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310	RC00050,RC00087,RC00088,RC00095,RC00099,RC00116,RC00649,RC01734,RC02273	ko00000,ko00001,ko01000	-	-	-	ADH_N,ADH_zinc_N
BSU_10330	224308.BSU10330	2.77e-223	616.0	COG4594@1|root,COG4594@2|Bacteria,1VQVG@1239|Firmicutes,4HTU4@91061|Bacilli,1ZPXH@1386|Bacillus	2|Bacteria	M	Periplasmic binding protein	ciuA	GO:0005575,GO:0005623,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464	-	ko:K02016	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	iYO844.BSU07520	Peripla_BP_2
BSU_10340	224308.BSU10340	9.64e-141	397.0	COG0406@1|root,COG0406@2|Bacteria,1V6ES@1239|Firmicutes,4HGZI@91061|Bacilli,1ZDQW@1386|Bacillus	2|Bacteria	G	Belongs to the phosphoglycerate mutase family	yhfR	-	3.1.3.73,5.4.2.12	ko:K02226,ko:K15634,ko:K15640	ko00010,ko00260,ko00680,ko00860,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map00860,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00002,M00003,M00122	R01518,R04594,R11173	RC00017,RC00536	ko00000,ko00001,ko00002,ko01000	-	-	-	His_Phos_1
BSU_10350	224308.BSU10350	1.19e-256	704.0	COG0183@1|root,COG0183@2|Bacteria,1TP07@1239|Firmicutes,4H9RJ@91061|Bacilli,1ZB7V@1386|Bacillus	2|Bacteria	I	Belongs to the thiolase family	vraB	-	2.3.1.9	ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	R00238,R01177	RC00004,RC00326	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Thiolase_C,Thiolase_N
BSU_10360	224308.BSU10360	0.0	971.0	COG0318@1|root,COG0318@2|Bacteria,1TT9C@1239|Firmicutes,4HBQ2@91061|Bacilli,1ZCW8@1386|Bacillus	2|Bacteria	IQ	AMP-binding enzyme C-terminal domain	vraA	-	6.2.1.3	ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding,AMP-binding_C
BSU_10370	224308.BSU10370	1.47e-118	340.0	COG1268@1|root,COG1268@2|Bacteria,1VAAD@1239|Firmicutes,4HI8T@91061|Bacilli,1ZC7W@1386|Bacillus	2|Bacteria	S	BioY family	bioY	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0042802,GO:0044464,GO:0071944	-	ko:K03523	ko02010,map02010	M00581,M00582	-	-	ko00000,ko00001,ko00002,ko02000	2.A.88.1,2.A.88.2	-	-	BioY
BSU_10380	224308.BSU10380	2.62e-260	719.0	COG0840@1|root,COG0840@2|Bacteria,1TRTV@1239|Firmicutes,4H9M1@91061|Bacilli,1ZBCT@1386|Bacillus	2|Bacteria	NT	chemotaxis protein	hemAT	GO:0003674,GO:0005488,GO:0006935,GO:0007154,GO:0007165,GO:0008150,GO:0009453,GO:0009454,GO:0009605,GO:0009987,GO:0020037,GO:0023052,GO:0040011,GO:0042221,GO:0042330,GO:0046906,GO:0048037,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0097159,GO:1901363	-	ko:K03406,ko:K06595	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	CZB,MCPsignal,Protoglobin
BSU_10390	224308.BSU10390	0.0	1040.0	COG0665@1|root,COG0723@1|root,COG0665@2|Bacteria,COG0723@2|Bacteria,1TR1R@1239|Firmicutes,4H9V8@91061|Bacilli,1ZC19@1386|Bacillus	2|Bacteria	CE	COG0665 Glycine D-amino acid oxidases (deaminating)	yhfW	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0016491,GO:0044424,GO:0044464,GO:0055114	-	ko:K09471	ko00330,ko01100,map00330,map01100	M00136	R07415	RC00062	ko00000,ko00001,ko00002,ko01000	-	-	-	DAO,Rieske
BSU_10400	224308.BSU10400	1.11e-203	563.0	COG1028@1|root,COG1028@2|Bacteria,1TR53@1239|Firmicutes,4HB8Y@91061|Bacilli,1ZAS0@1386|Bacillus	2|Bacteria	IQ	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	yhxC	-	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
BSU_10410	224308.BSU10410	9.84e-45	145.0	2EUKM@1|root,33N2I@2|Bacteria,1VP85@1239|Firmicutes,4HRNF@91061|Bacilli,1ZIVF@1386|Bacillus	2|Bacteria	S	IDEAL	yhzC	-	-	-	-	-	-	-	-	-	-	-	IDEAL
BSU_10420	224308.BSU10420	2.19e-141	398.0	COG4903@1|root,COG4903@2|Bacteria,1V4S5@1239|Firmicutes,4HHF4@91061|Bacilli,1ZGB4@1386|Bacillus	2|Bacteria	K	Competence transcription factor	comK	-	-	ko:K02250	ko02024,map02024	-	-	-	ko00000,ko00001,ko02044,ko03000	-	-	-	ComK
BSU_10430	224308.BSU10430	2.55e-216	597.0	COG1028@1|root,COG1028@2|Bacteria,1TR53@1239|Firmicutes,4HB8Y@91061|Bacilli,1ZDFM@1386|Bacillus	2|Bacteria	IQ	Enoyl-(Acyl carrier protein) reductase	yhxD	-	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
BSU_10440	224308.BSU10440	5e-57	177.0	2E52I@1|root,32ZVS@2|Bacteria,1VEXA@1239|Firmicutes,4HP05@91061|Bacilli,1ZJT0@1386|Bacillus	2|Bacteria	S	Excalibur calcium-binding domain	yhjA	-	-	-	-	-	-	-	-	-	-	-	Excalibur
