locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
BSU_04680,rsbS,AL009126.3,BSU04680,520237,520602,+,antagonist of RsbT,Signal transduction mechanisms,P42410,Op187
BSU_04690,rsbT,AL009126.3,BSU04690,520606,521007,+,switch protein/serine-threonine kinase%3B controls the activity of the anxiosome (stressosome),Signal transduction mechanisms,P42411,Op187
BSU_04700,rsbU,AL009126.3,BSU04700,521019,522026,+,protein serine phosphatase%3B controls the activity of the anxiosome (stressosome),Transcription,P40399,Op187
BSU_04710,rsbV,AL009126.3,BSU04710,522088,522417,+,anti-anti-sigma factor (antagonist of RsbW),Signal transduction mechanisms,P17903,Op187
BSU_04720,rsbW,AL009126.3,BSU04720,522414,522896,+,switch protein/serine kinase and anti-sigma factor (inhibitory sigma-B binding protein),Nucleotide transport and metabolism,P17904,Op187
BSU_04730,sigB,AL009126.3,BSU04730,522862,523650,+,RNA polymerase sigma-37 factor (sigma(B)),Transcription,P06574,Op187
BSU_04740,rsbX,AL009126.3,BSU04740,523650,524249,+,serine phosphatase,Transcription,P17906,Op187
BSU_04745,BSU_04745,AL009126.3,BSU04745,524360,524476,+,hypothetical protein,No COG annotation,A0A2K4Z9G9,Op188
BSU_04750,ydcF,AL009126.3,BSU04750,524492,524785,+,conserved protein of unknown function,No COG annotation,P96623,Op189
BSU_04760,ydcG,AL009126.3,BSU04760,524782,525222,+,conserved protein of unknown function,Function unknown,P96624,Op189
BSU_04770,ydcH,AL009126.3,BSU04770,525206,525649,+,putative transcriptional regulator,Transcription,P96625,Op189
BSU_04780,tex,AL009126.3,BSU04780,525743,527902,+,RNA helicase transcriptional accessory protein,Transcription,O31489,Op5
BSU_04785,cmpA,AL009126.3,BSU04785,527912,528025,-,factor allowing degradation of SpoIVA by ClpXP,No COG annotation,A0A2K4Z9G8,Op5
BSU_04790,ydcK,AL009126.3,BSU04790,528129,528581,+,conserved protein of unknown function,Function unknown,P96628,Op5
BSU_04800,ydcL,AL009126.3,BSU04800,529505,530611,-,ICEBs1 mobile element: integrase,"Replication, recombination and repair",P96629,Op190
BSU_04810,immA,AL009126.3,BSU04810,530624,531133,-,ICEBs1 mobile element: site-specific protease cleaving ImmR,Amino acid transport and metabolism,P96630,Op190
BSU_04820,immR,AL009126.3,BSU04820,531130,531513,-,ICEBs1 mobile element: transcriptional regulator (Xre family),Transcription,P96631,Op190
BSU_04830,xis,AL009126.3,BSU04830,531787,531981,+,ICEBs1 mobile element: excisionase,No COG annotation,O31490,Op191
BSU_04839,ydzL,AL009126.3,BSU04839,531978,532238,+,ICEBs1 mobile element: conserved protein of unknown function,No COG annotation,C0H3V5,Op191
BSU_04840,ydcO,AL009126.3,BSU04840,532292,532552,+,ICEBs1 mobile element: conserved protein of unknown function,No COG annotation,P96632,Op191
BSU_04849,BSU_04849,AL009126.3,BSU04849,532758,532886,+,ICEBs1 mobile element: hypothetical protein,No COG annotation,A0A2K4Z9F9,Op192
BSU_04850,helP,AL009126.3,BSU04850,532922,533302,+,ICEBs1 mobile element: helicase processivity factor,Function unknown,P96633,Op191
BSU_04860,conQ,AL009126.3,BSU04860,533338,534780,+,ICEBs1 mobile element: coupling conjugation protein VirD4,"Cell cycle control, cell division, chromosome partitioning",P96634,Op191
BSU_04870,nicK,AL009126.3,BSU04870,534773,535831,+,ICEBs1 mobile element: DNA relaxase,"Replication, recombination and repair",P96635,Op191
BSU_04880,ydcS,AL009126.3,BSU04880,536096,536365,+,ICEBs1 mobile element: conserved protein of unknown function,No COG annotation,P96636,Op191
BSU_04890,ydcT,AL009126.3,BSU04890,536404,536670,+,ICEBs1 mobile element: conserved protein of unknown function,No COG annotation,P96637,Op191
BSU_04900,yddA,AL009126.3,BSU04900,536687,536995,+,ICEBs1 mobile element: conserved protein of unknown function,No COG annotation,P96638,Op191
BSU_04910,conB,AL009126.3,BSU04910,536985,538049,+,ICEBs1 mobile element: subunit of the conjugation machinery VirB8,Function unknown,O31491,Op191
BSU_04920,conC,AL009126.3,BSU04920,538061,538309,+,ICEBs1 mobile element: subunit of the conjugation machinery,No COG annotation,P96640,Op191
BSU_04930,conD,AL009126.3,BSU04930,538322,538846,+,ICEBs1 mobile element: subunit of the conjugation machinery,Function unknown,P96641,Op191
BSU_04940,conE,AL009126.3,BSU04940,538734,541229,+,ICEBs1 mobile element: VirB4-like ATPase,Function unknown,P96642,Op191
BSU_04950,yddF,AL009126.3,BSU04950,541248,541574,+,ICEBs1 mobile element: conserved protein of unknown function,Function unknown,P96643,Op191
BSU_04960,conG,AL009126.3,BSU04960,541578,544025,+,ICEBs1 mobile element: VirB6 subunit of the conjugation machinery,Function unknown,P96644,Op191
BSU_04970,cwlT,AL009126.3,BSU04970,544022,545011,+,ICEBs1 mobile element: two-domain autolysin with N-acetylmuramidase and DL-endopeptidase activity VirB1,Cell wall/membrane/envelope biogenesis,P96645,Op191
BSU_04980,yddI,AL009126.3,BSU04980,545026,545532,+,ICEBs1 mobile element: conserved protein of unknown function,No COG annotation,P96646,Op191
BSU_04990,yddJ,AL009126.3,BSU04990,545595,545975,+,ICEBs1 mobile element: putative lipoprotein of unknown function,Function unknown,P96647,Op191
BSU_05000,yddK,AL009126.3,BSU05000,546166,546966,-,ICEBs1 mobile element: conserved protein of unknown function,Function unknown,P96648,Op193
BSU_05010,rapI,AL009126.3,BSU05010,547306,548481,+,ICEBs1 mobile element: response regulator aspartate phosphatase,Function unknown,P96649,Op194
BSU_05020,phrI,AL009126.3,BSU05020,548438,548557,+,ICEBs1 mobile element: secreted regulator of the activity of phosphatase RapI,No COG annotation,O31492,Op194
BSU_05030,yddM,AL009126.3,BSU05030,548710,549651,+,ICEBs1 mobile element: putative helicase,No COG annotation,P96650,Op5
BSU_05040,yddN,AL009126.3,BSU05040,550240,551259,-,putative alkanal monooxygenase,Energy production and conversion,P96651,Op195
BSU_05050,lrpA,AL009126.3,BSU05050,551519,551929,+,transcriptional regulator (Lrp/AsnC family),Transcription,P96652,Op196
BSU_05060,lrpB,AL009126.3,BSU05060,552052,552501,-,transcriptional regulator (Lrp/AsnC family),Transcription,P96653,Op197
BSU_05070,yddQ,AL009126.3,BSU05070,552616,553158,+,putative hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",P96654,Op5
BSU_05080,yddR,AL009126.3,BSU05080,553711,554475,+,putative metal-dependent hydrolase,Function unknown,P96655,Op5
BSU_05090,yddS,AL009126.3,BSU05090,554669,555979,+,putative permease,Amino acid transport and metabolism,P96656,Op5
BSU_05099,ydzM,AL009126.3,BSU05099,556562,556738,+,conserved phage protein of unknown function,No COG annotation,Q9K3A9,Op5
BSU_05100,yddT,AL009126.3,BSU05100,556763,557449,+,putative exported phage protein,No COG annotation,P96657,Op5
BSU_05109,ydzN,AL009126.3,BSU05109,557873,558058,+,hypothetical protein,No COG annotation,C0H3V7,Op5
BSU_05110,sufLC,AL009126.3,BSU05110,558408,559001,+,glyoxalase III homolog%2C deglycase,Function unknown,P96658,Op5
BSU_05120,cspC,AL009126.3,BSU05120,559264,559464,+,cold-shock protein,Transcription,P39158,Op5
BSU_05130,cdnL,AL009126.3,BSU05130,560151,560612,-,transcriptional regulator for repair and outgrowth of heat damaged spores,Transcription,P96659,Op5
BSU_05140,ydzE,AL009126.3,BSU05140,561180,561416,-,putative permease,Amino acid transport and metabolism,O31493,Op5
BSU_05150,ydeC,AL009126.3,BSU05150,561514,562389,-,putative transcriptional regulator (AraC/XylS family),Transcription,P96660,Op5
BSU_05160,ydeD,AL009126.3,BSU05160,562502,563461,+,putative permease,Amino acid transport and metabolism,P96661,Op198
BSU_05170,ydeE,AL009126.3,BSU05170,563614,564486,-,putative transcriptional regulator (AraC/XylS family),Transcription,P96662,Op199
BSU_05180,ydeF,AL009126.3,BSU05180,564713,566101,+,putative PLP-dependent transcriptional regulator,Transcription,P96663,Op5
BSU_05190,ydeG,AL009126.3,BSU05190,566211,567503,+,putative permease,Amino acid transport and metabolism,P96664,Op5
BSU_05200,ydeH,AL009126.3,BSU05200,567662,568108,+,putative integral inner membrane protein,No COG annotation,P96665,Op5
BSU_05210,ydeI,AL009126.3,BSU05210,568345,568938,+,conserved hypothetical protein,Function unknown,P96666,Op5
BSU_05220,ydeJ,AL009126.3,BSU05220,569290,569949,-,putative lipoprotein,No COG annotation,P96667,Op5
BSU_05230,ydeK,AL009126.3,BSU05230,570371,571234,-,putative permease,Amino acid transport and metabolism,P96668,Op5
BSU_05240,ydeL,AL009126.3,BSU05240,571389,572780,+,putative PLP-dependent transcriptional regulator,Transcription,P96669,Op5
BSU_05250,ydeM,AL009126.3,BSU05250,572974,573399,+,putative dehydratase,Lipid transport and metabolism,P96670,Op5
BSU_05260,ydeN,AL009126.3,BSU05260,573452,574024,-,putative alpha/beta hydrolase,Function unknown,P96671,Op5
BSU_05270,ydzF,AL009126.3,BSU05270,574106,574435,-,putative transcriptional regulator,Transcription,O31494,Op5
BSU_05280,ydeO,AL009126.3,BSU05280,574690,575562,+,putative integral inner membrane protein,Function unknown,P96672,Op200
BSU_05290,ydeP,AL009126.3,BSU05290,575712,576098,-,putative transcriptional regulator,Transcription,P96673,Op201
BSU_05300,ydeQ,AL009126.3,BSU05300,576209,576802,+,putative NAD(P)H oxidoreductase involved in regulating potassium efflux,Function unknown,P96674,Op202
BSU_05310,ydeR,AL009126.3,BSU05310,576946,578133,-,putative efflux transporter,Amino acid transport and metabolism,P96675,Op203
BSU_05320,ydeS,AL009126.3,BSU05320,578337,578933,+,putative transcriptional regulator (TetR/AcrR family),Transcription,P96676,Op5
BSU_05329,ydzO,AL009126.3,BSU05329,579047,579232,+,hypothetical protein,No COG annotation,C0H3V9,Op5
BSU_05330,aseR,AL009126.3,BSU05330,579541,579876,+,transcriptional regulator (metals sensing ArsR-SmtB repressors family),Transcription,P96677,Op5
BSU_05340,arsF,AL009126.3,BSU05340,579889,581196,+,arsenite/antimonite/H+ antiporter,Inorganic ion transport and metabolism,P96678,Op5
BSU_05343,ydzSn,AL009126.3,,581228,581329,+,conserved hypothetical protein%3B N-terminal part of ydzS,Signal transduction mechanisms,,Op5
BSU_05344,ydzSc,AL009126.3,,581341,581454,+,conserved hypothetical protein%3B C-terminal part of ydzS,No COG annotation,,Op5
BSU_05350,ydfB,AL009126.3,BSU05350,581694,582479,+,putative acetyltransferase,"Translation, ribosomal structure and biogenesis",P96679,Op5
BSU_05360,ydfC,AL009126.3,BSU05360,582536,583456,-,putative aminoacid exporter,Amino acid transport and metabolism,P96680,Op204
BSU_05370,ydfD,AL009126.3,BSU05370,583589,585037,+,putative PLP-dependent transcriptional regulator,Transcription,P96681,Op205
BSU_05380,ydfE,AL009126.3,BSU05380,585155,585778,-,putative flavoprotein,Function unknown,P96682,Op206
BSU_05390,ydfF,AL009126.3,BSU05390,585868,586548,+,putative transcriptional regulator,Transcription,P96683,Op207
BSU_05400,ydfG,AL009126.3,BSU05400,586628,587071,-,conserved hypothetical protein,Function unknown,P96684,Op5
BSU_05408,ydzP,AL009126.3,BSU05408,587157,587336,-,hypothetical protein,No COG annotation,C0H3W0,Op5
BSU_05409,ydzQ,AL009126.3,BSU05409,587333,587476,-,hypothetical protein,No COG annotation,C0H3W1,Op5
BSU_05410,ydfH,AL009126.3,BSU05410,587744,588967,+,two-component sensor histidine kinase [YdfI],Signal transduction mechanisms,P96685,Op208
BSU_05420,ydfI,AL009126.3,BSU05420,588960,589601,+,two-component response regulator [YdfH],Transcription,P96686,Op208
BSU_05430,ydfJ,AL009126.3,BSU05430,589717,591891,+,putative proton metabolite efflux transporter,Function unknown,P96687,Op209
BSU_05440,cesA,AL009126.3,BSU05440,592303,593205,-,carboxylesterase NP,Function unknown,P96688,Op210
BSU_05450,ydfK,AL009126.3,BSU05450,593407,594096,-,putative integral inner membrane protein,Function unknown,P96689,Op211
BSU_05460,ydfL,AL009126.3,BSU05460,594186,594998,-,putative transcriptional regulator of efflux transporter,Transcription,P96690,Op5
BSU_05470,mneP,AL009126.3,BSU05470,595109,596002,-,primary Mn(II) efflux pump,Inorganic ion transport and metabolism,C0SP78,Op212
BSU_05480,ydfN,AL009126.3,BSU05480,596478,597098,+,putative oxidoreductase,Energy production and conversion,P96692,Op213
BSU_05490,ydfO,AL009126.3,BSU05490,597114,598052,+,putative dioxygenase,Amino acid transport and metabolism,P96693,Op213
BSU_05500,ydfP,AL009126.3,BSU05500,598154,598543,+,putative membrane bound oxidoreductase,Function unknown,P96694,Op213
BSU_05510,ydfQ,AL009126.3,BSU05510,598729,599067,+,putative thioredoxin or thiol-disulfide isomerase,Energy production and conversion,P96695,Op5
BSU_05520,ydzH,AL009126.3,BSU05520,599107,599343,-,conserved hypothetical protein%2C sporulation-related,Function unknown,O31496,Op5
BSU_05529,ydzR,AL009126.3,BSU05529,599875,600105,-,conserved hypothetical protein%2C sporulation-related,No COG annotation,C0H3W2,Op5
BSU_05530,ydfR,AL009126.3,BSU05530,600229,600906,-,conserved membrane protein of unknown function,Function unknown,P96696,Op214
BSU_05540,ydfS,AL009126.3,BSU05540,601019,601726,+,conserved hypothetical protein,Function unknown,P96697,Op215
BSU_05550,cotP,AL009126.3,BSU05550,601741,602172,-,spore coat protein,"Post-translational modification, protein turnover, and chaperones",P96698,Op216
BSU_05560,ydgA,AL009126.3,BSU05560,602185,602427,-,conserved hypothetical protein%3B putative germination protein,Function unknown,P96699,Op216
BSU_05570,ydgB,AL009126.3,BSU05570,602441,602713,-,conserved hypothetical protein%3B putative germination protein,Function unknown,P96700,Op216
BSU_05580,ydgC,AL009126.3,BSU05580,603012,603599,+,putative transcriptional regulator,Transcription,P96701,Op5
BSU_05590,ydgD,AL009126.3,BSU05590,603596,603940,+,conserved hypothetical protein,Function unknown,P96702,Op5
BSU_05600,ydgE,AL009126.3,BSU05600,604103,604576,+,putative N-acetyltransferase,Transcription,P96703,Op5
BSU_05610,vmlR,AL009126.3,BSU05610,604736,606379,-,ATP-binding cassette efflux transporter,Function unknown,P39115,Op5
BSU_05620,ydgF,AL009126.3,BSU05620,606699,608075,-,putative amino acid permease,Amino acid transport and metabolism,P96704,Op5
BSU_05630,dinB,AL009126.3,BSU05630,608246,608764,-,nuclease inhibitor,Function unknown,Q02886,Op217
BSU_05640,ydgG,AL009126.3,BSU05640,608933,609391,+,putative transcriptional regulator (MarR family),Transcription,P96705,Op218
BSU_05650,ydgH,AL009126.3,BSU05650,609388,612045,+,putative membrane component,Function unknown,P96706,Op218
BSU_05660,ydgI,AL009126.3,BSU05660,612191,612820,-,nitroreductase of unidentified specificity (reduces 5-(aziridin-1-yl)-2%2C4-dinitrobenzamide prodrug),Energy production and conversion,P96707,Op5
BSU_05670,ydgJ,AL009126.3,BSU05670,612836,613330,-,putative transcriptional regulator (MarR family),Transcription,P96708,Op5
BSU_05680,ydgK,AL009126.3,BSU05680,613641,614849,+,putative efflux transporter,Amino acid transport and metabolism,P96709,Op219
BSU_05690,ydhB,AL009126.3,BSU05690,614885,615622,-,putative integral inner membrane protein,Function unknown,O05493,Op220
BSU_05700,ydhC,AL009126.3,BSU05700,615871,616545,+,putative transcriptional regulator (GntR family),Transcription,O05494,Op5
BSU_05710,spoL,AL009126.3,BSU05710,616672,617934,+,spore cortex lytic enzyme,Cell wall/membrane/envelope biogenesis,O05495,Op221
BSU_05720,ydhE,AL009126.3,BSU05720,618095,619282,+,putative glycosyltransferase,Energy production and conversion,O05496,Op222
BSU_05730,ydhF,AL009126.3,BSU05730,619321,620031,-,putative phosphate-starvation lipoprotein,No COG annotation,O05497,Op223
BSU_05740,phoB,AL009126.3,BSU05740,620097,621485,-,alkaline phosphatase III (promiscuous%2C heptaprenylglyceryl phosphate is a substrate),Inorganic ion transport and metabolism,P19405,Op223
BSU_05750,fra,AL009126.3,BSU05750,621847,622218,+,frataxin%3B iron/sulfur chaperone,Function unknown,Q797E6,Op224
BSU_05760,ydhH,AL009126.3,BSU05760,622293,622790,-,conserved hypothetical protein,No COG annotation,O05500,Op5
BSU_05770,ydhI,AL009126.3,BSU05770,622808,623290,-,putative acetyltransferase,Transcription,O05501,Op5
BSU_05780,ydhJ,AL009126.3,BSU05780,623373,624350,+,putative metal-dependent phosphohydrolase,Function unknown,O05502,Op5
BSU_05790,ydhK,AL009126.3,BSU05790,624492,625109,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,O05503,Op225
BSU_05800,pbuE,AL009126.3,BSU05800,625125,626291,-,hypoxanthine efflux transporter,Amino acid transport and metabolism,Q797E3,Op226
BSU_05810,gmuB,AL009126.3,BSU05810,626622,626933,+,oligo-alpha-mannoside phosphotransferase system enzyme IIB,Carbohydrate transport and metabolism,O05505,Op227
BSU_05820,gmuA,AL009126.3,BSU05820,626933,627265,+,oligo-alpha-mannoside phosphotransferase system enzyme IIA,Carbohydrate transport and metabolism,O05506,Op227
BSU_05830,gmuC,AL009126.3,BSU05830,627284,628612,+,oligo-alpha-mannoside phosphotransferase system enzyme IIC,Carbohydrate transport and metabolism,O05507,Op227
BSU_05840,gmuD,AL009126.3,BSU05840,628630,630027,+,mannoside-phospho-beta-d-glucosidase,Carbohydrate transport and metabolism,O05508,Op227
BSU_05850,gmuR,AL009126.3,BSU05850,630170,630883,+,transcriptional regulator (GntR family),Transcription,O05509,Op227
BSU_05860,gmuE,AL009126.3,BSU05860,630912,631811,+,ROK fructokinase%3B glucomannan utilization protein E,Carbohydrate transport and metabolism,O05510,Op227
BSU_05870,gmuF,AL009126.3,BSU05870,631808,632755,+,phosphohexomutase%3B cupin family,Carbohydrate transport and metabolism,O05511,Op227
BSU_05880,gmuG,AL009126.3,BSU05880,632774,633862,+,exported mannan endo-1%2C4-beta-mannosidase,Carbohydrate transport and metabolism,O05512,Op227
BSU_05890,ydhUc,AL009126.3,,633923,634651,-,Mn catalase fragment%3B C-terminal part of YhdU,Inorganic ion transport and metabolism,,Op228
BSU_05899,ydhUn,AL009126.3,,634651,634776,-,Mn catalase fragment%3B N-terminal part of YhdU,No COG annotation,,Op228
BSU_05900,thiL,AL009126.3,BSU05900,640662,641639,+,thiamine-monophosphate kinase,Coenzyme transport and metabolism,O05514,Op5
BSU_05910,tsaE,AL009126.3,BSU05910,641654,642130,+,tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification%3B ADP binding protein,Function unknown,O05515,Op5
BSU_05920,tsaB,AL009126.3,BSU05920,642111,642800,+,tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification%3B protease involved in TsaD function,"Post-translational modification, protein turnover, and chaperones",O05516,Op5
BSU_05930,rimI,AL009126.3,BSU05930,642810,643265,+,ribosomal protein S18 alanine N-acetyltransferase,Transcription,O05517,Op5
BSU_05940,tsaD,AL009126.3,BSU05940,643258,644298,+,tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification%3B glycation binding protein,"Post-translational modification, protein turnover, and chaperones",O05518,Op5
BSU_05950,ydiF,AL009126.3,BSU05950,644528,646456,-,putative energy-sensing inhibitor of translation,Function unknown,O05519,Op229
BSU_05960,moaC,AL009126.3,BSU05960,646582,647094,+,molybdenum cofactor biosynthesis protein C,Coenzyme transport and metabolism,O05520,Op5
BSU_05970,rex,AL009126.3,BSU05970,647091,647738,+,transcription repressor of cydABCD and yjlC-ndh expression,Transcription,O05521,Op5
BSU_05980,tatAY,AL009126.3,BSU05980,647760,647933,+,component of the twin-arginine pre-protein translocation pathway,"Intracellular trafficking, secretion, and vesicular transport",O05522,Op5
BSU_05990,tatCY,AL009126.3,BSU05990,647940,648704,+,component of the twin-arginine pre-protein translocation pathway,"Intracellular trafficking, secretion, and vesicular transport",O05523,Op5
BSU_06000,ydiK,AL009126.3,BSU06000,648742,648933,-,conserved hypothetical protein,Function unknown,O05524,Op5
BSU_06010,ydiL,AL009126.3,BSU06010,648930,649664,-,putative membrane protease,Function unknown,O05525,Op5
BSU_06020,groES,AL009126.3,BSU06020,649903,650187,+,chaperonin small subunit,"Post-translational modification, protein turnover, and chaperones",P28599,Op230
BSU_06030,groEL,AL009126.3,BSU06030,650234,651868,+,chaperonin large subunit,"Post-translational modification, protein turnover, and chaperones",P28598,Op230
BSU_06033,ydzTc,AL009126.3,,651977,652084,-,hypothetical protein%3B putative integrase (fragment)%3B C-terminal part of YdzT%3B defective prophage 3,"Replication, recombination and repair",,Op5
BSU_06034,ydzT,AL009126.3,,652087,652245,-,hypothetical protein%3B putative integrase (fragment)%3B internal part of YdzT,No COG annotation,,Op5
BSU_06036,ydzT,AL009126.3,,652290,652418,-,hypothetical protein%3B putative integrase (fragment)%3B internal part of YdzT,No COG annotation,,Op5
BSU_06037,ydzT,AL009126.3,,652511,652720,-,hypothetical protein%3B putative integrase (fragment)%3B internal part of YdzT,No COG annotation,,Op5
BSU_06038,ydzTn,AL009126.3,,652713,653018,-,hypothetical protein%3B putative integrase (fragment)%3B N-terminal part of YdzT%3B defective prophage 3,"Replication, recombination and repair",,Op5
BSU_06040,ydiM,AL009126.3,BSU06040,653432,653812,+,hypothetical protein%3B prophage 3 region,Transcription,O34672,Op5
BSU_06048,ydzU,AL009126.3,BSU06048,654071,654343,+,hypothetical protein%3B prophage 3 region,No COG annotation,C0H3W7,Op5
BSU_06049,ydzV,AL009126.3,,654333,654692,+,conserved hypothetical protein%3B phage terminase (fragment)%3B defective prophage 3,"Replication, recombination and repair",,Op5
BSU_06050,ydiN,AL009126.3,,654978,655193,+,putative N-terminus of restriction enzyme%3B defective prophage 3,No COG annotation,,Op231
BSU_06060,bsuMA,AL009126.3,BSU06060,655223,656506,+,DNA-methyltransferase (cytosine-specific)%3B prophage 3 region,"Replication, recombination and repair",O34939,Op232
BSU_06070,bsuMB,AL009126.3,BSU06070,656528,657697,+,DNA-methyltransferase (cytosine-specific)%3B defective prophage 3,Coenzyme transport and metabolism,O34680,Op232
BSU_06073,ydzWc,AL009126.3,,657793,658062,-,putative phosphoglucomutase%3B C-terminal part of YdzW%3B defective prophage 3,No COG annotation,,Op5
BSU_06074,ydzWmc,AL009126.3,,658061,658189,-,putative phosphoglucomutase%3B internal part of YdzW,No COG annotation,,Op5
BSU_06076,ydzWmb,AL009126.3,,658189,658605,-,putative phosphoglucomutase%3B internal part of YdzW,Carbohydrate transport and metabolism,,Op5
BSU_06077,ydzW,AL009126.3,,658615,658758,-,putative phosphomannomutase%3B internal part of YdzW,No COG annotation,,Op5
BSU_06078,ydzW,AL009126.3,,658813,659010,-,putative phosphoglucomutase%3B internal part of YdzW,No COG annotation,,Op5
BSU_06079,ydzWma,AL009126.3,,659010,659129,-,putative phosphomannomutase%3B internal part of YdzW,No COG annotation,,Op5
BSU_06083,ydzWn,AL009126.3,,659129,659221,-,putative phosphomannomutase%3B N-terminal part of YdzW%3B defective prophage 3,No COG annotation,,Op5
BSU_06090,bsuRA,AL009126.3,BSU06090,659623,660564,+,type-2 restriction enzyme BsuMI component BsuRA (YdiR)%3B prophage region 3,No COG annotation,O35025,Op233
BSU_06100,bsuRB,AL009126.3,BSU06100,660596,661627,+,type-2 restriction enzyme BsuMI component BsuRB (YdiS)%3B prophage region 3,Defense mechanisms,O34885,Op233
BSU_06110,bsuRC,AL009126.3,BSU06110,661630,663027,+,type-2 restriction enzyme BsuMI component BsuRC (YdjA)%3B prophage region 3,"Translation, ribosomal structure and biogenesis",O34303,Op233
BSU_06120,ydjB,AL009126.3,BSU06120,663601,663936,+,hypothetical protein%3B prophage region 3,No COG annotation,O34778,Op5
BSU_06130,ydjC,AL009126.3,BSU06130,664319,664669,+,conserved hypothetical protein%3B prophage region 3,Function unknown,O34715,Op234
BSU_06140,gutR,AL009126.3,BSU06140,664775,667264,-,transcriptional regulator of the glucitol operon,Transcription,P39143,Op235
BSU_06150,gutB,AL009126.3,BSU06150,667466,668527,+,glucitol (sorbitol) dehydrogenase,Amino acid transport and metabolism,Q06004,Op236
BSU_06160,gutP,AL009126.3,BSU06160,668601,669992,+,H+-glucitol symporter%3B prophage region 3,Carbohydrate transport and metabolism,O34368,Op236
BSU_06170,ydjE,AL009126.3,BSU06170,670087,671049,+,putative sugar kinase (ribokinase family)%3B prophage region 3,Carbohydrate transport and metabolism,O34768,Op5
BSU_06180,pspA,AL009126.3,BSU06180,671245,671928,+,phage shock protein A homolog regulator%3B prophage region 3,Transcription,P54617,Op237
BSU_06190,ydjG,AL009126.3,BSU06190,671994,673019,+,putative phage replication protein%3B prophage region 3,"Replication, recombination and repair",O34434,Op237
BSU_06200,ydjH,AL009126.3,BSU06200,673019,673783,+,conserved hypothetical protein%3B prophage region 3,Function unknown,O35004,Op237
BSU_06210,ydjI,AL009126.3,BSU06210,673814,674785,+,putative phage protein,Function unknown,O34789,Op237
BSU_06220,ydjJ,AL009126.3,BSU06220,674832,675857,-,putative membrane associated potassium channel%3B prophage region 3,Function unknown,O34733,Op238
BSU_06230,iolT,AL009126.3,BSU06230,676442,677863,+,myo-inositol transporter,"Intracellular trafficking, secretion, and vesicular transport",O34718,Op239
BSU_06240,bdhA,AL009126.3,BSU06240,677911,678951,-,acetoin reductase/2%2C3-butanediol dehydrogenase,Amino acid transport and metabolism,O34788,Op240
BSU_06250,walM,AL009126.3,BSU06250,679390,679761,+,protein involved in cell wall metabolism,Cell wall/membrane/envelope biogenesis,P40775,Op241
BSU_06260,ydjN,AL009126.3,BSU06260,679827,680873,+,putative membrane protein,"Intracellular trafficking, secretion, and vesicular transport",O34353,Op5
BSU_06269,ydzJ,AL009126.3,BSU06269,680907,681065,-,hypothetical protein,No COG annotation,O24817,Op5
BSU_06270,ydjO,AL009126.3,BSU06270,681255,681464,-,conserved hypothetical protein,Function unknown,O34759,Op242
BSU_06280,ydjP,AL009126.3,BSU06280,681547,682362,-,putative aminoacrylate hydrolase,Lipid transport and metabolism,O34592,Op242
BSU_06290,yeaA,AL009126.3,BSU06290,682375,683364,-,conserved hypothetical protein,Function unknown,O34803,Op242
BSU_06300,cotA,AL009126.3,BSU06300,683462,685003,-,outer spore coat copper-dependent promiscuous laccase,"Secondary metabolites biosynthesis, transport, and catabolism",P07788,Op243
BSU_06310,gabP,AL009126.3,BSU06310,685155,686564,-,gamma-aminobutyrate (GABA) permease%3B proline permease,Amino acid transport and metabolism,P46349,Op244
BSU_06319,ydzX,AL009126.3,BSU06319,686602,686889,-,hypothetical protein,No COG annotation,C0H3X2,Op5
BSU_06320,mneS,AL009126.3,BSU06320,686962,687834,+,secondary Mn(II) exporter%2C promiscuous,Inorganic ion transport and metabolism,P46348,Op245
BSU_06330,yeaC,AL009126.3,BSU06330,688184,689146,+,putative MoxR-like ATPase,Function unknown,P94474,Op5
BSU_06340,yeaD,AL009126.3,BSU06340,689146,690342,+,conserved hypothetical protein,Function unknown,P94475,Op5
BSU_06350,yebA,AL009126.3,BSU06350,690364,692577,+,conserved hypothetical protein,Amino acid transport and metabolism,P94476,Op5
BSU_06360,guaA,AL009126.3,BSU06360,692740,694281,+,GMP synthetase,Nucleotide transport and metabolism,P29727,Op246
BSU_06370,pbuG,AL009126.3,BSU06370,694662,695984,+,hypoxanthine/guanine permease,Function unknown,O34987,Op247
BSU_06380,yebC,AL009126.3,BSU06380,696195,696998,+,putative integral inner membrane protein,Cell wall/membrane/envelope biogenesis,O34341,Op5
BSU_06390,yebD,AL009126.3,BSU06390,697157,697324,+,hypothetical protein,No COG annotation,O34904,Op5
BSU_06400,yebE,AL009126.3,BSU06400,697538,698092,+,conserved hypothetical protein,Function unknown,O34624,Op5
BSU_06410,yebG,AL009126.3,BSU06410,698092,698289,+,conserved hypothetical protein,Function unknown,O34700,Op5
BSU_06420,purE,AL009126.3,BSU06420,698612,699100,+,N5-carboxyaminoimidazole ribonucleotide mutase,Nucleotide transport and metabolism,P12044,Op248
